島根県,Td
2020/04/11,1.427
2020/04/12,1.671
2020/04/13,2.306
2020/04/14,2.892
2020/04/15,3.526
2020/04/16,4.417
2020/04/17,5.983
2020/04/18,8.005
2020/04/19,11.578
2020/04/20,15.562
2020/04/21,18.674
2020/04/22,21.549
2020/04/23,21.931
2020/04/24,19.794
2020/04/25,17.564
2020/04/26,15.435
2020/04/27,13.847
2020/04/28,15.615
2020/04/29,17.743
2020/04/30,21.596
2020/05/01,27.153
2020/05/02,35.873
2020/05/03,51.555
2020/05/04,88.123
2020/05/05,114.006
2020/05/06,160.590
2020/05/07,201.350
2020/05/08,269.280
2020/05/09,405.140
2020/05/10,812.713
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,1000
2020/07/07,1000
2020/07/08,1000
2020/07/09,1000
2020/07/10,817.565
2020/07/11,409.992
2020/07/12,274.133
2020/07/13,206.202
2020/07/14,165.442
2020/07/15,138.269
2020/07/16,104.300
2020/07/17,104.906
2020/07/18,105.513
2020/07/19,85.373
2020/07/21,71.945
2020/07/22,58.352
2020/07/23,49.289
2020/07/24,47.330
2020/07/25,43.276
2020/07/26,39.927
2020/07/28,44.202
2020/07/29,49.374
2020/07/30,63.207
2020/07/31,87.093
2020/08/01,120.678
2020/08/02,139.655
2020/08/03,12.217
2020/08/04,7.208
2020/08/05,5.419
2020/08/06,4.477
2020/08/07,3.906
2020/08/08,3.519
2020/08/11,3.263
2020/08/12,4.334
2020/08/13,5.734
2020/08/14,7.797
2020/08/15,11.126
2020/08/16,17.339
2020/08/17,33.405
2020/08/18,165.406
2020/08/19,214.058
2020/08/20,282.321
2020/08/21,266.712
2020/08/22,252.567
2020/08/23,239.912
2020/08/24,228.522
2020/08/25,218.217
2020/08/26,229.735
2020/08/27,230.220
2020/08/28,288.386
2020/08/29,355.499
2020/08/30,462.879
2020/08/31,662.299
2020/09/01,1160.847
2020/09/02,2324.122
2020/09/03,1000
2020/09/04,1000
2020/09/06,1000
2020/09/07,1000
2020/09/08,1000
2020/09/09,1000
2020/09/10,1000
2020/09/11,1000
2020/09/13,1000
2020/09/15,1000
2020/09/17,4655.523
2020/09/18,1165.699
2020/09/19,667.151
2020/09/22,467.732
2020/09/23,360.351
2020/09/24,293.238
2020/09/25,247.318
2020/09/26,235.315
2020/09/28,277.272
2020/09/29,337.210
2020/10/01,429.841
2020/10/02,591.944
2020/10/03,948.570
2020/10/04,2375.068
2020/10/05,1000
2020/10/06,1000
2020/10/07,1000
2020/10/08,1000
2020/10/09,1000
2020/10/12,1000
2020/10/14,1000
2020/10/15,1000
2020/10/17,4757.415
2020/10/18,2379.920
2020/10/20,1587.421
2020/10/22,1191.172
2020/10/23,953.422
2020/10/25,794.922
2020/10/27,681.707
2020/10/29,795.730
2020/10/30,955.363
2020/11/05,1194.811
2020/11/06,69.643
