兵庫県,Td
2020/04/01,10.136
2020/04/02,10.608
2020/04/03,11.762
2020/04/04,11.245
2020/04/05,10.968
2020/04/06,9.870
2020/04/07,9.081
2020/04/08,8.411
2020/04/09,8.029
2020/04/10,7.505
2020/04/11,8.175
2020/04/12,8.657
2020/04/13,9.700
2020/04/14,10.763
2020/04/15,11.926
2020/04/16,13.210
2020/04/17,15.218
2020/04/18,16.039
2020/04/19,17.498
2020/04/20,17.857
2020/04/21,19.007
2020/04/22,20.455
2020/04/23,22.471
2020/04/24,23.907
2020/04/25,26.646
2020/04/26,30.560
2020/04/27,37.142
2020/04/28,43.731
2020/04/29,51.777
2020/04/30,60.386
2020/05/01,74.253
2020/05/02,83.633
2020/05/03,89.078
2020/05/04,90.113
2020/05/05,98.239
2020/05/06,104.389
2020/05/07,113.402
2020/05/08,123.895
2020/05/09,135.586
2020/05/10,148.502
2020/05/11,176.316
2020/05/12,191.406
2020/05/13,227.495
2020/05/14,270.061
2020/05/15,318.261
2020/05/16,421.429
2020/05/17,591.095
2020/05/18,763.566
2020/05/19,1184.864
2020/05/20,1975.988
2020/05/21,3389.143
2020/05/22,11868.066
2020/05/23,23738.558
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,23743.410
2020/06/16,11872.918
2020/06/17,4750.622
2020/06/18,2970.048
2020/06/19,1980.840
2020/06/20,1398.953
2020/06/21,1081.560
2020/06/22,915.725
2020/06/23,794.113
2020/06/24,794.598
2020/06/25,795.084
2020/06/26,823.086
2020/06/27,853.262
2020/06/28,854.128
2020/06/29,886.572
2020/06/30,887.470
2020/07/01,773.740
2020/07/02,615.894
2020/07/03,511.782
2020/07/04,438.046
2020/07/05,383.113
2020/07/06,318.249
2020/07/07,263.584
2020/07/08,219.185
2020/07/09,198.470
2020/07/10,171.421
2020/07/11,144.086
2020/07/12,116.443
2020/07/13,88.523
2020/07/14,69.449
2020/07/15,58.048
2020/07/16,48.749
2020/07/17,41.408
2020/07/18,35.557
2020/07/19,30.879
2020/07/21,28.050
2020/07/22,26.407
2020/07/23,24.522
2020/07/24,22.650
2020/07/25,21.169
2020/07/26,19.969
2020/07/28,19.483
2020/07/29,19.103
2020/07/30,18.535
2020/07/31,18.305
2020/08/01,18.385
2020/08/02,17.871
2020/08/03,17.740
2020/08/04,17.537
2020/08/05,17.614
2020/08/06,17.749
2020/08/07,17.778
2020/08/08,17.948
2020/08/11,19.651
2020/08/12,21.513
2020/08/13,23.565
2020/08/14,25.561
2020/08/15,27.760
2020/08/16,30.670
2020/08/17,33.608
2020/08/18,34.914
2020/08/19,36.276
2020/08/20,38.139
2020/08/21,39.890
2020/08/22,42.621
2020/08/23,45.602
2020/08/24,49.531
2020/08/25,53.703
2020/08/26,58.356
2020/08/27,61.970
2020/08/28,66.790
2020/08/29,70.984
2020/08/30,75.278
2020/08/31,80.701
2020/09/01,86.019
2020/09/02,92.135
2020/09/03,98.151
2020/09/04,100.741
2020/09/06,101.842
2020/09/07,100.478
2020/09/08,94.263
2020/09/09,87.980
2020/09/10,77.760
2020/09/11,71.928
2020/09/13,69.125
2020/09/15,68.182
2020/09/17,69.020
2020/09/18,71.303
2020/09/19,73.778
2020/09/22,81.630
2020/09/23,88.020
2020/09/24,95.065
2020/09/25,99.790
2020/09/26,99.130
2020/09/28,98.467
2020/09/29,98.982
2020/10/01,98.953
2020/10/02,100.802
2020/10/03,96.370
2020/10/04,92.852
2020/10/05,94.036
2020/10/06,93.296
2020/10/07,91.848
2020/10/08,86.659
2020/10/09,82.288
2020/10/12,84.211
2020/10/14,86.061
2020/10/15,82.023
2020/10/17,80.548
2020/10/18,79.090
2020/10/20,74.780
2020/10/22,68.969
2020/10/23,61.909
2020/10/25,56.030
2020/10/27,53.443
2020/10/29,50.376
2020/10/30,47.392
2020/11/05,47.186
2020/11/06,14.597
