長崎県,Td
2020/04/01,3.226
2020/04/02,3.124
2020/04/03,3.543
2020/04/04,3.805
2020/04/05,4.417
2020/04/06,5.052
2020/04/07,5.941
2020/04/08,6.890
2020/04/09,7.914
2020/04/10,9.374
2020/04/11,12.265
2020/04/12,14.842
2020/04/13,17.430
2020/04/14,19.713
2020/04/15,22.408
2020/04/16,25.639
2020/04/17,27.637
2020/04/18,31.190
2020/04/19,41.195
2020/04/20,60.079
2020/04/21,109.153
2020/04/22,550.702
2020/04/23,1000
2020/04/24,1000
2020/04/25,1000
2020/04/26,1000
2020/04/27,1000
