Country,Deaths/Mil.,2020/03/25 04:03:19 UTC
San Marino,618.882
Italy,112.786
Spain,64.004
Iran,22.995
France,16.867
Netherlands,16.083
Cayman Islands,15.167
Switzerland,14.094
Andorra,12.945
Luxembourg,12.783
Belgium,10.517
UK,6.217
Curaçao,6.167
Guam,5.938
Iceland,5.861
Denmark,5.531
Sweden,3.967
Portugal,3.241
Austria,3.111
Martinique,2.667
Guadeloupe,2.493
Cyprus,2.492
S. Korea,2.455
Total:,2.424
USA,2.366
China,2.262
Norway,2.215
Slovenia,1.925
Greece,1.911
Germany,1.899
Bahrain,1.760
Albania,1.748
Cabo Verde,1.667
Montenegro,1.596
Mauritius,1.571
Ecuador,1.522
Ireland,1.417
Panama,1.395
Guyana,1.200
North Macedonia,0.959
Hungary,0.914
Bosnia and Herzegovina,0.911
Lithuania,0.737
Puerto Rico,0.718
Canada,0.689
Iraq,0.684
Romania,0.620
Lebanon,0.591
Dominican Republic,0.558
Hong Kong,0.537
Turkey,0.517
Gabon,0.500
Malaysia,0.493
Algeria,0.432
Bulgaria,0.427
Paraguay,0.405
Costa Rica,0.395
Tunisia,0.351
Israel,0.347
Serbia,0.347
Singapore,0.341
Gambia,0.333
Japan,0.324
Jamaica,0.320
Philippines,0.317
Australia,0.314
Czechia,0.280
Poland,0.266
Moldova,0.248
Croatia,0.243
Indonesia,0.241
Brazil,0.225
Peru,0.219
UAE,0.202
Egypt,0.199
Finland,0.181
Burkina Faso,0.175
Morocco,0.147
Argentina,0.140
Chile,0.104
Azerbaijan,0.103
Taiwan,0.083
Cuba,0.083
Ghana,0.075
Zimbabwe,0.067
Ukraine,0.059
Thailand,0.058
Colombia,0.056
Guatemala,0.048
Mexico,0.033
Cameroon,0.030
Pakistan,0.029
Saudi Arabia,0.029
Afghanistan,0.027
Sudan,0.023
DRC,0.022
Bangladesh,0.021
India,0.008
Russia,0.006
Nigeria,0.005
