月齢,日時,Ser.No.,Day.No.,場所,通称,Style,開始時刻,終了時刻,開始ー北緯度,開始ー北緯分,開始ー緯度度,開始ー緯度分,終了ー北緯度,終了ー北緯分,終了ー緯度度,終了ー緯度分,
2.2,2007/08/15 ,325,2,鳩間島北,,D,12:39,13:46,24,28.699,123,49.656,24,28.632,123,49.805,
2.2,2007/08/15 ,326,3,ヨナラ水道北,ヨナランジュ,D,15:17,16:11,24,22.459,123,56.797,24,22.250,123,57.057,
2.3,2006/04/30 ,182,1,鳩間島西,,D,10:37,11:21,24,28.506,123,48.103,24,28.150,123,48.370,
2.3,2006/04/30 ,183,2,鳩間島西,,A,12:19,12:57,24,29.150,123,48.370,,,,,
2.3,2006/04/30 ,185,3,鳩間島北,,A,15:12,16:07,24,28.829,123,49.225,,,,,
2.3,2009/09/21 ,568,1,波照間島高那崎,,D,10:27,11:19,24,2.889,123,48.269,24,2.733,123,47.809,
2.3,2009/09/21 ,569,2,波照間島南西,,D,11:49,12:28,24,2.790,123,45.034,24,2.709,123,45.217,
2.3,2009/09/21 ,570,3,波照間島西,,D,13:52,16:35,24,3.433,123,44.194,24,3.011,123,45.146,
2.6,2006/09/25 ,231,1,黒島東,,A,10:08,11:09,24,13.951,124,2.502,,,,,
2.6,2006/09/25 ,232,2,黒島東,,D,11:24,12:08,24,13.859,124,2.671,24,13.460,124,2.462,
2.6,2006/09/25 ,233,3,黒島北,,A,15:18,16:20,24,16.220,124,2.298,,,,,
2.6,2007/09/14 ,346,1,石垣島野原崎,トオザトビシ,D,10:28,11:21,24,26.128,124,15.921,24,26.161,124,15.934,
2.6,2007/09/14 ,347,2,石垣島野原崎,トオザトビシ,D,11:50,12:55,24,26.595,124,16.260,24,26.232,124,16.191,
2.6,2007/09/14 ,348,3,石垣島カラ岳東,モリヤマグチ,D,14:22,15:25,24,24.369,124,16.094,24,23.892,124,16.103,
2.8,2011/05/06 ,776,1,波照間島北,,D,10:51,11:41,24,4.376,123,47.332,24,4.493,124,47.221,
2.8,2011/05/06 ,777,2,波照間島北西,,D,12:16,13:15,24,4.430,123,45.440,24,4.403,124,44.999,
2.8,2011/05/06 ,778,3,波照間島北,,D,14:30,15:29,24,4.348,123,47.619,24,4.157,124,48.237,
3.0,2009/04/28 ,488,1,西表島南,ナカバマー,D,10:37,11:24,24,16.428,123,46.928,24,16.393,123,47.019,
3.0,2009/04/28 ,489,2,西表島南,タカバマー,D,11:59,12:41,24,16.163,123,47.851,24,16.209,123,47.546,
3.0,2009/04/28 ,490,3,黒島南西,,D,15:21,15:59,24,13.150,123,59.859,24,12.776,124,0.138,
3.1,2004/08/19 ,51,1,鳩間島南東,,A,11:02,12:06,24,27.052,123,50.119,,,,,
3.1,2004/08/19 ,52,2,鳩間島西,,A,13:29,14:24,24,28.274,123,48.106,,,,,
3.2,2006/11/24 ,253,1,下地島南西,,D,11:04,12:02,24,12.494,123,55.406,24,12.268,123,55.794,
3.2,2006/11/24 ,254,2,黒島南西,,D,13:54,14:49,24,12.996,123,59.943,24,12.650,124,0.285,
3.2,2019/11/24 ,255,3,黒島南東,,D,15:32,16:19,24,12.597,124,0.953,24,12.908,124,1.397,
3.2,2007/08/16 ,327,1,黒島北,ウウグチ,D,10:12,11:06,24,17.279,124,1.116,24,17.547,124,0.645,
3.2,2019/08/16 ,328,2,黒島北,ウウグチ,D,11:57,12:54,24,17.329,124,1.422,24,17.181,124,1.650,
3.2,2007/08/16 ,329,3,黒島南西,,D,15:10,16:08,24,13.272,123,59.814,24,12.848,124,0.030,
3.3,2006/05/01 ,186,1,西表島野原崎北,ヨナランジュ,D,10:27,11:06,24,22.460,123,56.828,24,22.077,123,57.108,
3.3,2006/05/01 ,187,2,小浜島北西,クバマビシ,D,13:12,14:12,24,22.094,123,57.585,24,21.840,123,57.376,
3.3,2006/05/01 ,188,3,小浜島北西,クバマビシ,D,15:37,16:28,24,22.137,123,57.806,24,22.047,123,57.572,
3.3,2009/09/22 ,571,1,西表島ウビラ石,ハテルマケージュ,D,10:43,11:32,24,17.280,123,40.439,24,17.088,123,40.596,
3.3,2009/09/22 ,572,2,西表島ウビラ石,ハテルマケージュ,D,11:59,12:51,24,16.838,123,41.073,24,16.747,123,41.370,
3.3,2009/09/22 ,573,3,西表島網取湾,,D,14:17,15:14,24,20.901,123,41.226,24,20.810,123,40.518,
3.6,2006/09/26 ,234,1,石垣島トムル崎,ニシグルチ,D,10:17,10:54,24,31.044,124,18.617,24,31.080,124,18.634,
3.6,2006/09/26 ,235,2,石垣島平久保東,ヤッチャグチ,D,11:33,12:09,24,33.694,124,20.057,24,33.287,124,19.902,
3.6,2006/09/26 ,236,3,石垣島明石東,ビールンジュ,D,14:11,14:55,24,32.434,124,19.103,24,32.127,124,18.974,
3.6,2007/09/15 ,349,1,石垣島白保崎南,ミヤラ,D,11:37,12:33,24,20.241,124,14.899,24,20.145,124,14.748,
3.6,2007/09/15 ,350,2,石垣島白保崎南,ミヤラ,D,14:41,15:37,24,20.180,124,14.214,24,20.120,124,14.447,
4.0,2009/04/29 ,491,1,西表島宇奈利崎,,D,10:41,11:30,24,25.820,123,45.689,24,26.083,123,45.663,
4.0,2009/04/29 ,492,2,ヨナラ水道東,,D,14:42,15:32,24,21.614,123,57.220,24,20.455,123,56.893,
4.0,2009/04/29 ,493,3,ヨナラ水道北西,,D,16:17,16:53,24,22.326,123,57.019,24,22.039,123,57.133,
4.1,2004/08/20 ,53,1,石垣島明石東,ダルマーグチ,A,11:26,12:18,24,32.500,124,19.088,,,,,
4.1,2004/08/20 ,54,2,石垣島平久保東,ヤッチャグチ,D,13:11,14:03,24,33.376,124,19.909,24,33.146,124,19.549,
4.1,2004/08/20 ,55,3,石垣島野原崎,トオザトビシ,A,15:56,16:50,24,26.693,124,16.212,,,,,
4.2,2006/11/25 ,256,1,波照間島北西,,D,10:09,10:57,24,4.448,123,45.314,24,4.209,123,44.915,
4.2,2006/11/25 ,257,2,波照間島西,,D,11:36,12:46,24,4.231,123,44.687,24,3.670,123,44.218,
4.2,2006/11/25 ,258,3,波照間島北,,D,14:46,15:49,24,4.443,123,47.007,24,4.322,123,47.562,
4.3,2006/05/02 ,189,1,石垣島平久保東,ヤッチャグチ北,D,10:40,11:33,24,33.795,124,19.940,24,33.704,124,19.997,
4.3,2019/05/02 ,190,2,石垣島明石東,ダルマーグチ,D,12:14,13:11,24,33.251,124,19.650,24,32.877,124,19.307,
4.3,2006/05/02 ,191,3,石垣島明石東,ビールンジュ,D,14:39,15:21,24,32.191,124,18.899,24,32.630,124,19.094,
4.3,2009/09/23 ,574,1,西表島外離島東,フカバナリ,D,10:48,11:36,24,22.672,123,42.523,24,23.001,123,42.698,
4.3,2019/09/23 ,575,2,西表島崎山湾,サキヤマグチ,D,12:21,13:13,24,18.738,123,39.673,24,18.848,123,39.737,
4.3,2019/09/23 ,576,3,西表島崎山湾,サキヤマグチ,D,14:48,15:34,24,18.968,123,40.036,24,18.817,123,39.729,
4.6,2006/09/27 ,237,1,ヨナラ水道北西,,D,10:30,11:05,24,22.053,123,57.166,24,22.291,123,57.091,
4.6,2006/09/27 ,238,2,ヨナラ水道北東,,D,11:53,12:43,24,22.148,123,57.577,24,22.099,123,57.068,
4.6,2007/09/16 ,351,1,下地島東,,D,11:02,12:07,24,32.630,123,55.504,24,12.147,123,56.231,123.937186
4.6,2007/09/16 ,352,2,下地島南,,D,12:36,13:28,24,12.371,123,55.679,24,12.224,123,56.023,
4.6,2007/09/16 ,353,3,黒島南西,,D,14:51,15:42,24,12.795,124,0.196,24,12.686,124,0.417,
5.0,2009/04/30 ,494,1,石垣島御神崎東,,A,10:09,10:56,24,27.162,124,5.450,,,,,
5.0,2009/04/30 ,495,2,石垣島御神崎南,,A,11:58,13:01,24,26.235,124,4.390,,,,,
5.0,2009/04/30 ,496,3,石垣島屋良部崎,ヤラブグチ,D,15:17,16:00,24,25.251,124,4.414,24,25.538,124,4.159,124.069317
5.2,2006/11/26 ,259,1,石垣島平久保東,ヤッチャグチ,D,10:52,11:28,24,33.618,124,20.067,24,33.529,124,20.258,
5.2,2006/11/26 ,260,2,石垣島平久保東,ヤッチャグチ,D,11:51,12:39,24,33.881,124,20.750,24,34.236,124,20.992,124.349873
5.2,2006/11/26 ,261,3,石垣島トムル崎,ニシグルチ,D,13:52,14:42,24,32.527,124,19.085,24,32.180,124,18.957,
5.3,2006/05/03 ,192,1,波照間島北西,,D,11:14,12:11,24,4.390,123,45.273,24,4.278,123,45.384,
5.3,2006/05/03 ,193,2,波照間島南西,,D,13:29,14:24,24,2.962,123,44.890,24,2.958,123,44.600,
5.3,2006/05/03 ,194,3,波照間島南西,,D,14:59,15:57,24,2.933,123,44.658,24,3.056,123,44.368,
5.3,2009/09/24 ,577,1,黒島東,ケングチ,D,09:38,10:22,24,13.079,124,1.996,24,12.636,124,0.991,
5.3,2009/09/24 ,578,2,黒島東,ケングチ,D,10:43,11:33,24,12.772,124,1.175,24,12.562,124,0.860,
5.3,2009/09/24 ,579,3,黒島西,,D,14:09,14:56,24,13.249,123,59.801,24,12.636,124,0.357,
5.7,2003/12/29 ,7,1,竹富島南,,A,15:22,15:45,24,14.781,124,6.001,,,,,
6.0,2009/05/01 ,497,1,西表島ウビラ石,ハテルマケージュ,D,10:38,11:28,24,17.020,123,40.553,24,17.306,123,40.286,
6.0,2009/05/01 ,498,2,西表島ウビラ石,ハテルマケージュ,D,12:14,13:07,24,17.360,123,40.275,24,17.612,123,40.118,123.668633
6.0,2009/05/01 ,499,3,西表島南,ナカバマー,D,15:06,15:56,24,16.579,123,44.969,24,16.681,123,44.762,
6.2,2007/08/19 ,330,1,西表島野原崎北,ヨナランジュ,D,15:21,15:56,24,22.307,123,57.056,24,22.139,123,57.251,
6.2,2007/08/19 ,331,2,小浜島北西,クバマビシ,D,16:36,17:09,24,22.101,123,57.581,24,21.956,123,57.353,
6.3,2006/05/04 ,195,1,石垣島トムル崎,ニシグルチ,D,10:22,11:17,24,30.920,124,18.373,24,31.062,124,18.519,
6.3,2006/05/04 ,196,2,石垣島明石東,ビールンジュ,A,13:39,14:34,24,31.925,124,18.842,,,,,
6.3,2006/05/04 ,197,3,石垣島玉取崎東,タマトリグチ,A,15:17,16:09,24,28.713,124,11.242,,,,,
6.7,2003/12/30 ,8,1,竹富島西,,A,10:56,11:39,,,,,,,,,
6.7,2003/12/30 ,9,2,竹富島西,,A,12:39,13:21,,,,,,,,,
7.0,2009/05/02 ,500,1,ヨナラ水道東,,D,09:48,10:50,24,20.365,123,57.034,24,20.944,123,57.234,
7.0,2009/05/02 ,501,2,ヨナラ水道北西,,D,11:23,12:12,24,21.490,123,57.102,24,21.986,123,57.263,
7.2,2007/08/20 ,332,1,西表島西崎,,D,11:07,12:10,24,26.508,123,46.735,24,26.664,123,47.044,
7.2,2007/08/20 ,333,2,鳩間水道,インダビシ,D,14:21,15:16,24,25.794,123,50.943,24,26.027,123,50.769,
7.2,2007/08/20 ,334,3,鳩間水道,インダビシ,D,15:47,16:50,24,25.052,123,51.376,24,25.381,123,51.491,
7.3,2006/05/05 ,198,1,鳩間島西,,D,10:31,11:21,24,28.688,123,48.133,24,28.835,123,48.130,
7.3,2006/05/05 ,199,2,鳩間島北,,D,12:05,12:49,24,28.784,123,49.470,24,28.755,123,49.498,
7.3,2006/05/05 ,200,3,鳩間島南西,,D,14:30,15:19,24,28.200,123,48.091,24,28.580,123,48.075,
7.7,2003/12/31 ,10,1,黒島南,,A,10:50,11:33,,,,,,,,,
7.7,2003/12/31 ,11,2,黒島南,,A,13:14,14:09,24,21.683,123,57.525,,,,,
7.7,2003/12/31 ,12,3,黒島南,,A,15:20,16:09,24,14.391,123,59.261,,,,,
7.7,2010/09/16 ,709,1,黒島東,ケングチ,D,09:44,10:25,24,14.284,124,2.542,24,13.608,124,2.377,124.03962
7.7,2010/09/16 ,710,2,黒島東,ケングチ,D,11:14,11:56,24,13.403,124,2.151,24,12.835,124,1.375,124.022911
7.7,2010/09/16 ,711,3,黒島東,ケングチ,D,14:23,15:11,24,12.896,124,1.483,24,13.440,124,2.234,124.037225
8.0,2009/05/03 ,502,1,波照間島西,,D,10:15,11:15,24,3.070,123,44.339,24,3.442,123,43.377,
8.0,2009/05/03 ,503,2,波照間島南西,,D,11:56,12:45,24,2.748,123,45.451,24,2.788,123,44.985,
8.0,2009/05/03 ,504,3,波照間島北,,D,14:19,15:16,24,4.382,123,47.353,24,4.516,123,46.733,
8.3,2006/05/06 ,201,1,ヨナラ水道北西,,D,10:07,10:43,24,22.278,123,57.047,24,22.345,123,57.231,
8.3,2006/05/06 ,202,2,ヨナラ水道北東,,D,11:40,12:24,24,22.089,123,57.448,24,22.194,123,57.743,123.962383
8.3,2006/05/06 ,203,3,ヨナラ水道北西,,D,14:27,15:15,24,22.102,123,57.115,24,22.398,123,56.917,
8.7,2004/01/01 ,13,1,石垣島白保崎,,A,11:53,12:33,24,20.122,124,13.963,,,,,
8.7,2004/01/01 ,14,2,石垣島宮良湾,,A,14:34,15:25,24,20.670,124,13.963,,,,,
8.7,2004/01/01 ,15,3,石垣島大浜東,,A,16:17,17:08,24,19.540,124,11.430,,,,,
9.0,2009/05/04 ,505,1,ヨナラ水道東,,D,09:41,10:33,24,20.863,123,57.106,24,19.908,123,56.816,
9.0,2009/05/04 ,506,2,ヨナラ水道西,,D,11:21,12:11,24,21.700,123,57.000,24,21.076,123,56.849,
9.0,2009/05/04 ,507,3,黒島東,ケングチ,D,14:07,14:58,24,12.927,124,1.443,24,12.521,124,0.757,
