月齢,日時,Ser.No.,Day.No.,場所,通称,Style,開始時刻,終了時刻,開始ー北緯度,開始ー北緯分,開始ー緯度度,開始ー緯度分,終了ー北緯度,終了ー北緯分,終了ー緯度度,終了ー緯度分,
14.6,2010/04/29 ,622,1,黒島東,ケングチ,D,10:32,11:09,24,12.931,124,1.414,24,12.582,124,0.900,
14.6,2010/04/29 ,623,2,黒島北東,,D,14:11,15:01,24,15.224,124,5.431,24,14.870,124,5.533,
14.6,2010/04/29 ,624,3,竹富島南,カタグァー,D,15:37,16:24,24,14.846,124,5.801,24,14.956,124,5.563,
15.0,2005/08/20 ,105,3,石垣島伊原間東,イバルマグチ,D,15:44,16:36,24,32.200,124,19.035,24,31.004,124,18.645,
15.0,2007/06/30 ,303,1,波照間島北,,A,11:04,11:57,24,4.357,123,45.140,,,,,
15.0,2007/06/30 ,304,2,波照間島北,,D,12:34,13:21,24,4.471,123,47.044,24,4.371,123,47.568,
15.0,2007/06/30 ,305,3,波照間島北東,,D,14:52,15:47,24,4.372,123,47.473,24,4.268,123,47.791,
15.2,2008/11/13 ,455,1,竹富島南,ヒーグルマー,D,,,24,16.351,124,9.473,24,15.958,124,9.344,
15.2,2008/11/13 ,456,2,竹富島南,ユイサーグチ,D,,,24,17.781,124,9.992,24,17.376,124,9.722,
15.3,2008/06/19 ,399,1,西表島野原崎北,ヨナランジュ,D,10:48,11:20,24,22.357,123,56.986,24,22.417,123,57.268,
15.3,2008/06/19 ,400,2,西表島野原崎北,ヨナランジュ,D,14:31,15:13,24,23.110,123,56.137,24,22.952,123,56.364,
15.3,2008/06/19 ,401,3,ヨナラ水道,,D,15:50,16:39,24,21.789,123,57.038,24,21.403,123,56.956,
15.6,2004/05/05 ,30,1,黒島東,,A,11:31,12:28,24,13.682,124,2.500,,,,,
15.6,2004/05/05 ,31,2,黒島南東,,A,13:53,14:42,24,13.058,124,1.630,,,,,
15.6,2007/05/03 ,274,1,鳩間島東,,D,10:24,11:13,24,27.932,123,50.403,24,28.117,123,50.305,
15.6,2007/05/03 ,275,2,鳩間島北東,,D,11:45,12:33,24,28.764,123,49.643,24,28.689,123,49.999,
15.6,2007/05/03 ,276,3,鳩間島西,,D,14:39,05:31,24,28.452,123,48.112,24,28.759,123,47.944,
15.6,2010/04/30 ,625,1,下地島東,パナリノタバサグァー,D,10:12,10:54,24,12.671,123,56.489,24,12.309,123,56.371,
15.6,2010/04/30 ,626,2,下地島東,パナリノタバサグァー,D,11:27,12:17,24,12.440,123,56.431,24,12.217,123,56.143,
15.6,2010/04/30 ,627,3,下地島南西,,D,14:34,15:24,24,13.072,123,54.438,24,13.454,123,54.249,
15.7,2011/10/13 ,798,1,竹富島南,カタグァー,D,,,24,14.777,124,6.605,24,14.872,124,7.169,
15.7,2011/10/13 ,799,2,竹富島南,カタグァー,D,,,24,14.909,124,5.740,24,14.766,124,6.304,
15.7,2019/10/13 ,800,3,竹富島南,ウーロンマガイ,D,,,24,15.884,124,9.244,24,16.170,124,9.462,
16.0,2007/07/01 ,306,1,波照間島北,,A,10:45,11:46,24,4.365,123,45.313,,,,,
16.0,2007/07/01 ,307,2,波照間島南西,,D,12:19,13:16,24,2.964,123,44.640,24,2.779,123,44.852,
16.0,2007/07/01 ,308,3,波照間島北,,D,14:39,15:38,24,4.473,123,46.383,24,4.490,123,47.029,
16.0,2019/08/21 ,107,2,波照間島北,,D,13:42,14:42,24,4.480,123,47.119,24,44.693,123,47.725,
16.3,2008/06/20 ,402,1,竹富島南,カタグァー,D,10:45,11:28,24,14.776,124,6.005,24,14.551,124,6.495,
16.3,2008/06/20 ,404,3,竹富島南,ヒーグルマー,D,15:24,16:15,24,16.451,124,9.470,24,16.168,124,9.423,
16.6,2004/05/06 ,32,1,石垣島白保崎,,A,11:19,12:00,24,20.288,124,14.985,,,,,
16.6,2004/05/06 ,33,2,石垣島白保崎,,A,14:40,15:29,24,20.203,124,13.568,,,,,
16.6,2004/05/06 ,34,3,石垣島白保崎,,A,16:35,17:29,24,20.208,124,14.085,,,,,
16.6,2007/05/04 ,277,1,波照間島北西,,D,10:24,11:17,24,4.369,123,45.288,24,4.373,123,45.290,
16.6,2007/05/04 ,278,2,波照間島北,,D,11:59,12:46,24,4.412,123,47.421,24,4.576,123,47.104,
16.6,2007/05/04 ,279,3,波照間島南東,,D,14:35,15:20,24,2551.000,123,47.139,24,2.539,123,47.371,
16.6,2010/05/01 ,628,1,波照間島西,,D,10:31,11:19,24,3.010,123,44.496,24,3.384,123,44.350,
16.6,2019/05/01 ,629,2,波照間島南西,,D,12:08,13:03,24,2.500,123,45.436,24,2.451,123,45.859,
16.6,2019/05/01 ,630,3,波照間島北,,D,15:04,15:46,24,4.090,123,47.635,24,4.045,123,47.862,
16.7,2011/10/14 ,801,1,鳩間島東,,D,10:23,10:50,24,27.415,123,50.656,24,27.600,123,50.581,
16.7,2011/10/14 ,802,2,鳩間島東,,D,11:25,12:15,24,27.392,123,50.632,24,27.418,123,50.678,
16.7,2019/10/14 ,803,3,鳩間島東,,D,14:23,15:10,24,27.708,123,50.475,24,27.875,123,50.405,
16.7,2013/04/27 ,825,1,鳩間島西,,D,10:52,11:45,24,28.339,123,48.133,24,28.790,123,48.135,
16.7,2013/04/27 ,826,2,鳩間島北西,,D,12:15,13:11,24,28.754,123,48.141,24,29.019,123,48.371,
16.7,2013/04/27 ,827,3,鳩間島東,,D,14:32,15:26,24,28.253,123,50.239,24,28.431,123,50.057,
17.2,2008/11/15 ,457,1,竹富島南,,A,10:38,11:27,24,15.593,124,5.424,,,,,
17.2,2008/11/15 ,458,2,竹富島南,,A,11:50,12:41,24,15.119,124,5.496,,,,,
17.3,2008/06/21 ,405,1,西表島高那北,ノバルグチ,D,11:12,12:11,24,23.617,123,54.639,24,24.007,123,54.449,
17.3,2008/06/21 ,406,2,ヨナラ水道北東,,D,14:24,15:33,24,22.106,123,57.666,24,21.660,123,57.294,
17.3,2008/06/21 ,407,3,ヨナラ水道北,,D,15:57,16:52,24,22.264,123,58.205,24,22.255,123,58.181,
17.3,2010/07/29 ,668,1,ヨナラ水道東,クバマビシ,D,10:28,11:07,24,22.058,123,57.636,24,22.176,123,57.781,
17.3,2010/07/29 ,669,2,西表島北,ユシン,D,11:55,12:52,24,23.633,123,54.601,24,23.997,123,54.542,
17.3,2010/07/29 ,670,3,ヨナラ水道西,ヨナランジュ,D,15:05,15:33,24,22.340,123,57.058,24,22.172,123,57.267,
17.6,2007/05/05 ,280,1,西表島高那北,ノバルグチ,D,10:19,11:09,24,23.982,123,54.238,24,24.085,123,54.134,
17.6,2007/05/05 ,281,2,西表島高那北,ノバルグチ,D,11:41,12:41,24,23.709,123,54.595,24,24.008,123,54.541,
17.6,2007/05/05 ,282,3,ヨナラ水道西,,D,14:30,15:20,24,21.904,123,57.060,24,21.616,123,56.958,
17.7,2011/10/15 ,804,1,竹富島南,ウーロンマガイ,D,09:58,10:56,24,15.153,124,7.795,24,14.924,124,7.289,
17.7,2011/10/15 ,805,2,竹富島南,ウーロンマガイ,D,11:28,12:25,24,15.546,124,8.760,24,17.318,124,9.558,
17.7,2013/04/28 ,828,1,石垣島浦崎北,トゥガイ,D,10:30,11:21,24,36.638,124,20.951,24,36.837,124,20.714,
17.7,2013/04/28 ,829,2,石垣島浦崎北,トゥガイ,D,11:45,12:40,24,37.006,124,20.398,24,36.903,124,20.663,
17.7,2019/04/28 ,830,3,石垣島平久保西,タウラ,D,14:29,15:28,24,25.848,124,17.995,24,36.200,124,18.178,
18.0,2012/10/04 ,810,1,竹富島南,カタグァー,D,09:46,10:34,24,15.198,124,7.897,24,15.210,124,7.933,
18.0,2019/10/04 ,811,2,竹富島南,ヒーグルマー,D,11:07,11:54,24,16.273,124,9.521,24,16.353,124,9.555,
18.0,2012/10/04 ,812,3,石垣島大浜東,,D,14:04,14:48,24,19.639,124,11.678,24,19.454,124,11.431,
18.2,2008/11/16 ,460,1,石垣島宮良,ミヤラグチ,A,,,24,20.576,124,12.909,,,,,
18.2,2008/11/16 ,461,2,石垣島大浜東,ウイノー,A,,,24,19.754,124,11.873,,,,,
18.3,2008/06/22 ,408,1,鳩間島西,,D,10:40,11:30,24,28.515,123,48.115,24,29.014,123,48.352,
18.3,2008/06/22 ,409,2,鳩間島北,,D,12:05,12:55,24,28.770,123,49.683,24,28.628,123,50.027,
18.3,2008/06/22 ,410,3,鳩間島北東,,D,15:00,16:00,24,27.933,123,50.383,24,27.692,123,50.600,
18.3,2008/09/18 ,439,1,石垣島平久保東,ヤッチャグチ,D,10:40,11:30,24,33.660,124,20.601,24,33.531,124,20.240,
18.3,2008/09/18 ,440,2,石垣島平久保東,ヤッチャグチ,D,11:57,12:45,24,33.469,124,20.148,24,33.300,124,19.877,
18.3,2008/09/18 ,441,3,石垣島トムル崎,,D,15:00,16:13,24,31.652,124,18.847,24,31.491,124,18.857,
18.3,2010/07/30 ,671,1,竹富島西,,D,09:42,10:36,24,20.226,124,3.970,24,21.185,124,4.042,
18.3,2010/07/30 ,672,2,竹富島西,,D,11:05,11:55,24,20.702,124,4.105,24,21.139,124,4.147,
18.3,2010/07/30 ,673,3,嘉弥真島東,,D,14:12,15:01,24,21.962,124,2.120,24,21.996,124,2.399,
18.3,2011/08/18 ,786,1,石垣島平久保東,ヤッチャグチ,D,,,24,33.500,124,20.262,24,33.779,124,20.560,
18.3,2011/08/18 ,787,2,石垣島平久保東,ヤッチャグチ,D,,,24,34.078,124,20.891,24,33.981,124,20.881,
18.3,2011/08/18 ,788,3,石垣島浦崎東,タラマドンガアー,D,,,24,35.544,124,21.366,24,35.824,124,21.289,
18.6,2007/05/06 ,283,1,竹富島南,ウーロンマガイ,D,14:41,15:31,24,15.050,124,7.643,24,15.133,124,7.972,
18.6,2007/05/06 ,284,2,竹富島南,ヒーグルマー,D,16:01,16:46,24,16.039,124,9.366,24,16.028,124,9.376,
18.6,2010/05/03 ,631,1,黒島東,ケングチ,D,10:04,10:45,24,12.648,124,1.468,24,12.338,124,1.080,
18.6,2010/05/03 ,632,2,黒島南西,,D,11:48,12:41,24,12.683,124,0.100,24,12.986,123,59.900,
18.6,2010/05/03 ,633,3,黒島北,マルグー,D,14:40,15:29,24,17.190,124,1.150,24,17.390,124,1.055,
18.7,2010/07/01 ,652,1,石垣島玉取崎東,タマトリトゥガイ,D,10:29,11:11,24,28.727,124,17.078,24,28.633,124,17.585,124.293076
18.7,2010/07/01 ,653,2,石垣島玉取崎東,タマトリトゥガイ,D,11:40,12:29,24,28.786,124,28.786,24,29.311,124,17.880,124.298006
18.7,2010/07/01 ,654,3,石垣島玉取崎東,タマトリトゥガイ,D,13:54,14:40,24,29.189,124,29.189,24,28.640,124,17.430,124.290508
18.7,2011/10/16 ,807,1,下地島東,,D,10:00,10:58,24,13.070,123,56.538,24,12.218,123,56.379,123.939649
18.7,2011/10/16 ,808,2,下地島南西,,D,11:26,12:22,24,12.627,123,55.019,24,12.970,123,54.510,123.908494
18.7,2011/10/16 ,809,3,黒島南西,,D,14:00,14:56,24,12.752,124,0.232,24,12.617,124,0.702,124.011703
19.0,2012/10/05 ,813,1,下地島東,,D,09:49,10:48,24,12.854,123,56.582,24,11.996,123,56.140,
19.0,2012/10/05 ,814,2,黒島南西,,D,11:27,12:24,24,12.646,124,0.567,24,12.675,124,1.019,
19.0,2012/10/05 ,815,3,黒島南東,,D,14:14,15:02,24,12.848,124,0.102,24,12.606,124,0.470,
19.3,2005/04/28 ,62,1,黒島東,ケングチ,A,13:56,14:53,24,14.015,124,2.520,,,,,
19.3,2005/04/28 ,63,1,黒島南東,,A,16:16,17:05,24,12.862,124,1.320,,,,,
19.3,2008/09/19 ,442,1,石垣島伊原間東,イバルマグチ,D,10:08,11:02,24,30.086,124,17.771,24,29.579,124,17.808,
19.3,2008/09/19 ,443,2,石垣島伊原間東,イバルマグチ,D,11:26,12:20,24,30.568,124,18.055,24,29.628,124,17.865,
19.3,2008/09/19 ,444,3,石垣島野原崎東,トオザトビシ,D,14:23,15:27,24,26.780,124,16.126,24,26.274,124,16.300,
19.3,2010/07/31 ,674,1,鳩間島北,,D,10:19,11:14,24,28.736,123,49.574,24,28.720,123,49.934,
19.3,2010/07/31 ,675,2,鳩間島北東,,D,11:46,12:45,24,28.218,123,50.226,24,27.918,123,50.478,
19.3,2010/07/31 ,676,3,西表島ダイクピー,,D,14:43,15:43,24,25.973,123,50.764,24,25.753,123,51.022,
19.3,2011/08/19 ,789,1,石垣島平久保東,ヤッチャグチ,D,,,24,33.749,124,20.620,24,33.815,124,20.570,
19.3,2011/08/19 ,790,2, 石垣島トムル崎,ニシグルチ,D,,,24,31.697,124,18.817,24,31.105,124,18.667,
19.3,2011/08/19 ,791,3,石垣島玉取崎東,タマトリトゥガイ,D,,,24,29.480,124,17.755,24,28.905,124,17.916,
19.6,2010/05/04 ,634,1,鳩間島北西,,D,10:24,11:10,24,28.450,123,48.221,24,28.764,123,48.401,
19.6,2010/05/04 ,635,2,鳩間島北,,D,11:56,12:47,24,28.590,123,49.380,24,28.507,123,49.733,
19.6,2010/05/04 ,636,3,西表島インダビシ,,D,14:59,15:48,24,25.970,123,50.805,24,48.154,123,50.564,123.842734
19.7,2010/07/02 ,655,1,鳩間島北西,,D,10:04,10:45,24,28.646,123,48.154,24,28.852,123,48.298,123.804972
19.7,2010/07/02 ,656,2,鳩間島北,,D,11:10,12:06,24,28.674,123,49.677,24,49.677,123,49.382,123.823028
19.7,2010/07/02 ,657,3,鳩間島南東,,D,13:15,13:55,24,26.822,123,50.201,24,50.201,123,50.497,123.841624
19.7,2010/07/02 ,658,4,西表島野原崎北,ヨナランジュ,D,14:37,15:30,24,22.588,123,56.607,24,56.607,123,56.951,123.949183
19.7,2013/04/30 ,831,1,鳩間島西,,D,10:26,11:16,24,28.443,123,48.118,24,28.881,123,48.175,
19.7,2013/04/30 ,832,2,鳩間島北西,,D,11:48,12:40,24,28.715,123,48.124,24,29.012,123,48.534,
19.7,2013/04/30 ,833,3,鳩間島東,,D,14:39,15:36,24,27.823,123,50.489,24,27.309,123,50.706,
20.0,2012/10/06 ,816,1,波照間島南西,,D,11:02,11:53,24,2.902,123,44.936,24,2.875,123,44.433,
20.0,2012/10/06 ,817,2,波照間島南西,,D,12:18,13:12,24,2.956,123,44.696,24,2.919,123,44.419,
20.0,2012/10/06 ,818,3,波照間島北,,D,14:24,15:20,24,4.530,123,45.540,24,4.328,123,45.182,
20.3,2005/04/29 ,64,1,鳩間島東,,A,11:13,11:59,24,27.602,123,50.562,,,,,
20.3,2005/04/29 ,65,2,鳩間島北,,A,14:07,14:48,24,28.810,123,49.506,,,,,
20.3,2005/04/29 ,66,3,西表島野原崎北,ヨナランジュ,A,15:56,16:46,24,22.374,123,56.976,,,,,
20.3,2008/09/20 ,445,1,石垣島明石東,ダルマーグチ,D,10:56,11:46,24,32.842,124,19.185,24,32.382,124,18.968,124.316125
20.3,2008/09/20 ,446,2,石垣島明石東,ビールンジュ,D,12:23,13:24,24,32.258,124,18.907,24,31.835,124,18.846,124.314099
20.3,2008/09/20 ,447,3,石垣島トムル崎,ニシグルチ,D,14:56,15:51,24,31.839,124,18.832,24,31.319,124,18.837,124.313943
20.3,2010/08/01 ,677,1,石垣島伊原間東,イバルマグチ,D,09:53,10:45,24,30.936,124,18.410,24,31.213,124,18.826,
20.3,2010/08/01 ,678,2,石垣島玉取崎東,タマトリグチ,D,11:23,12:15,24,28.642,124,17.635,24,28.770,124,17.909,
20.3,2010/08/01 ,679,3,石垣島カラ岳東,モリヤマグチ,D,15:01,15:53,24,24.880,124,16.028,24,24.549,124,16.080,
20.3,2011/08/20 ,792,1,波照間島北,,A,,,24,2.838,123,44.962,,,,,
20.3,2011/08/20 ,793,2,波照間島西,,D,,,24,3.041,123,44.610,24,3.101,123,44.502,
20.6,2010/05/05 ,637,1,波照間島北西,,D,10:33,11:09,24,4.278,123,43.287,24,4.525,123,43.019,
20.6,2010/05/05 ,638,2,波照間島南西,,D,12:00,12:48,24,2.730,123,45.647,24,2.820,123,44.852,
21.0,2012/10/07 ,819,1,石垣島宮良,ミヤラ,D,10:37,11:28,24,20.183,124,13.947,24,20.101,124,14.494,
21.0,2012/10/07 ,820,2,石垣島宮良,ミヤラグチ,D,12:10,13:11,24,20.450,124,13.050,24,20.170,124,13.393,
21.0,2012/10/07 ,821,3,石垣島大浜東,,D,14:32,15:24,24,19.537,124,11.382,24,19.581,124,11.762,
21.1,2005/11/23 ,162,1,黒島南東,ケングチ,D,10:46,11:38,24,12.931,124,1.573,24,12.523,124,1.736,
21.1,2005/11/23 ,163,2,黒島南,,D,12:08,12:52,24,12.586,124,0.623,24,12.854,124,0.076,124.001267
21.1,2005/11/23 ,164,3,竹富島南,カタグァー,D,14:48,15:26,24,14.665,124,6.175,24,14.647,124,6.111,124.101847
21.3,2005/04/30 ,67,1,石垣島平久保崎,タウラ,A,11:31,12:13,24,35.663,124,17.890,,,,,
21.3,2005/04/30 ,68,2,石垣島平久保崎,ウチナーグチ,A,13:52,14:44,24,37.043,124,20.000,,,,,
21.3,2005/04/30 ,69,3,石垣島浦崎東,タラマドンガー,D,15:56,16:57,24,35.654,124,21.356,24,36.219,124,21.257,
21.3,2008/09/21 ,448,1,波照間島北,,D,10:24,11:16,24,4.486,123,46.987,24,4.483,123,46.704,
21.3,2008/09/21 ,449,2,波照間島北西,,D,12:03,12:54,24,4.460,123,45.292,24,4.199,123,44.808,
21.3,2008/09/21 ,450,3,波照間島北西,,D,14:40,15:40,24,4.055,123,44.359,24,3.538,123,44.083,
21.3,2010/08/02 ,680,1,黒島東,ケングチ,D,09:47,10:40,24,12.740,124,1.268,24,13.008,124,1.692,
21.3,2010/08/02 ,681,2,黒島東,ケングチ,D,11:07,12:00,24,12.593,124,0.831,24,12.861,124,1.339,
21.3,2010/08/02 ,682,3,黒島南西,,D,13:19,14:14,24,12.987,123,59.925,24,12.648,124,0.407,
21.3,2011/08/21 ,795,1,鳩間島東,,D,,,24,27.913,123,50.399,24,28.190,123,50.257,
21.3,2011/08/21 ,796,2,鳩間島東,,D,,,24,28.663,123,49.767,24,28.661,123,49.920,
21.3,2011/08/21 ,797,3,西表島北,インダビシ,D,,,24,25.743,123,50.988,24,25.493,123,51.449,
21.6,2010/05/06 ,639,1,西表島野原崎北,ヨナランジュ,D,09:29,10:04,24,22.041,123,57.336,24,22.128,123,57.345,
21.6,2010/05/06 ,641,3,小浜島北西,クバマビシ,D,11:39,12:19,24,21.941,123,57.647,24,21.873,123,57.626,
21.7,2010/07/04 ,659,1,小浜島北西,クバマビシ,D,09:21,10:08,24,22.056,123,57.654,24,21.945,123,57.480,123.958007
21.7,2010/07/04 ,660,2,西表島野原崎北,ヨナランジュ,D,10:47,11:33,24,22.534,123,56.597,24,22.465,123,56.814,123.946903
21.7,2010/07/04 ,661,3,西表島野原崎北,ヨナランジュ,D,14:02,14:53,24,22.459,123,56.774,24,22.583,123,56.576,123.942933
21.7,2010/07/04 ,662,4,小浜島北西,クバマビシ,D,15:37,16:14,24,22.097,123,57.685,24,21.976,123,57.474,123.957904
21.7,2013/05/02 ,834,1,西表島ウビラ石,ハテルマケージュ,D,10:31,11:19,24,16.767,123,41.390,24,16.884,123,40.952,
21.7,2013/05/02 ,835,2,西表島ウビラ石,ハテルマケージュ,D,11:55,12:49,24,16.622,123,43.214,24,16.553,123,42.764,
21.7,2013/05/02 ,836,3,西表島南,タカバマー,D,14:37,15:27,24,17.028,123,44.608,24,16.879,123,44.930,
22.0,2009/08/13 ,530,1,石垣島トムル崎,ニシグルチ,D,10:03,10:58,24,30.580,124,18.228,24,31.248,124,18.835,
22.0,2009/08/13 ,531,2,石垣島玉取崎東,タマトリトゥガイ,D,11:38,12:38,24,29.049,124,17.899,24,28.790,124,18.010,
22.0,2009/08/13 ,532,3,石垣島カラ岳東,モリヤマグチ,D,14:59,16:05,24,24.680,124,16.019,24,24.407,124,16.150,
22.0,2012/10/08 ,822,1,下地島東,,D,09:52,10:50,24,13.518,123,57.164,24,13.050,123,56.566,
22.0,2012/10/08 ,823,2,黒島南西,,D,11:23,12:11,24,12.610,124,0.468,24,12.596,124,0.492,
22.0,2012/10/08 ,824,3,黒島南西,,D,13:20,14:12,24,12.862,124,0.073,24,12.594,124,0.416,
22.0,2005/11/24 ,165,1,下地島東,,D,10:46,11:41,24,12.096,123,56.105,24,12.647,123,56.545,
22.0,2005/11/24 ,166,2,下地島南東,,D,12:14,13:14,24,12.433,123,55.608,24,12.230,123,56.069,
22.0,2005/11/24 ,167,3,下地島南西,,D,14:55,15:44,24,12.761,123,54.755,24,12.610,123,54.755,
22.3,2005/05/01 ,70,1,西表島野原崎北,ヨナランジュ,A,10:55,11:52,24,22.445,123,56.847,,,,,
22.3,2005/05/01 ,71,2,小浜島北西,クバマビシ,A,13:14,14:06,24,22.140,123,57.838,,,,,
22.3,2008/09/22 ,451,1,黒島北西,,A,10:15,11:14,24,14.110,123,59.372,24,14.116,123,59.368,
22.3,2008/09/22 ,452,2,竹富島南,,A,13:22,14:22,24,15.752,124,5.409,24,15.324,124,5.260,
22.7,2010/07/05 ,663,1,石垣島平久保東,ヤッチャ,D,10:03,10:48,24,33.553,124,20.201,24,33.735,124,20.536,124.34226
22.7,2010/07/05 ,664,2,石垣島平久保東,ヤッチャ,D,11:04,11:53,24,33.798,124,20.640,24,34.170,124,20.914,124.348563
22.7,2010/07/05 ,665,3,石垣島平久保東,ヤッチャ,D,15:23,16:08,24,34.004,124,20.829,24,33.603,124,20.432,124.340525
22.7,2013/05/03 ,837,1,石垣島白保崎,シラホトゥガイ,D,09:23,10:09,24,20.071,124,15.191,24,19.980,124,15.025,
22.7,2013/05/03 ,838,2,竹富島南,カタグァー,D,11:15,12:04,24,14.507,124,6.794,24,14.625,124,7.160,
22.7,2013/05/03 ,839,3,竹富島南,カタグァー,D,13:17,14:13,24,14.572,124,6.128,24,14.500,124,6.768,
22.7,2013/05/03 ,840,4,竹富島南,ウーロンマガイ,D,15:00,15:54,24,14.584,124,7.129,24,14.693,124,7.454,
23.0,2008/04/29 ,372,1,鳩間島西,,D,11:17,12:10,24,28.295,123,48.128,24,28.707,123,48.034,
23.0,2008/04/29 ,373,2,鳩間島西,,D,12:47,13:52,24,28.559,123,48.165,24,29.007,123,48.451,
23.0,2008/04/29 ,374,3,鳩間島南西,,D,15:50,16:46,24,27.887,123,48.050,24,28.173,123,48.082,
23.0,2009/08/14 ,533,1,竹富島南西,ヒーグルマー,D,09:26,10:28,24,16.169,124,9.528,24,16.223,124,9.582,
23.0,2009/08/14 ,534,2,竹富島南西,ヒーグルマー,D,11:30,12:43,24,16.076,124,9.460,24,16.189,124,9.586,
23.1,2005/11/25 ,170,3,西表島鹿ノ川湾,タカバマー,D,14:55,15:45,24,17.121,123,44.501,24,17.248,123,44.422,
23.3,2005/05/02 ,72,1,上地島西,,A,10:43,11:40,24,14.190,123,55.629,,,,,
23.3,2005/05/02 ,73,2,上地島西,,D,13:51,14:43,24,13.822,123,55.465,24,13.719,123,55.267,
23.3,2005/05/02 ,74,3,黒島北西,ウウグチ,A,15:37,16:25,24,16.615,124,1.933,,,,,
23.3,2010/08/04 ,683,1,波照間島タカナ崎,,D,10:12,10:41,24,3.002,123,48.425,24,2.868,123,48.180,
23.3,2010/08/04 ,684,2,波照間島南東,,D,11:05,11:39,24,2.523,123,47.285,24,2.478,123,46.860,
23.3,2010/08/04 ,685,3,波照間島南,,D,13:11,13:50,24,2.694,123,45.600,24,2.704,123,45.175,
23.3,2010/08/04 ,686,4,波照間島南,,D,14:17,15:04,24,2.797,123,45.116,24,2.851,123,44.494,
23.7,2013/05/04 ,841,1,西表島網取湾,,D,10:53,11:37,24,20.505,123,40.775,24,20.743,123,40.760,
23.7,2013/05/04 ,842,2,西表島網取湾,,D,12:05,13:00,24,20.942,123,41.180,24,20.707,123,40.811,
23.7,2013/05/04 ,843,3,西表島外離島西,,D,14:35,15:28,24,22.576,123,42.450,24,22.898,123,42.693,
24.0,2008/04/30 ,375,1,西表島北,ノバルグチ,D,10:12,10:58,24,23.427,123,55.135,24,23.419,123,55.360,
24.0,2008/04/30 ,376,2,西表島北,ノバルグチ,D,11:37,12:24,24,23.370,123,55.300,24,23.378,123,55.465,
24.0,2009/08/15 ,535,1,仲御神島南東,,D,10:18,11:07,24,11.647,123,34.277,24,11.854,123,34.362,
24.0,2009/08/15 ,536,2,仲御神島南,,D,12:03,12:49,24,11.451,123,33.548,24,11.662,123,32.981,
24.0,2009/08/15 ,537,3,仲御神島北東,,D,14:42,15:38,24,11.832,123,34.045,24,11.691,123,34.361,
24.3,2005/05/03 ,75,1,波照間島北西,,A,11:26,12:14,24,4.291,123,45.180,,,,,
24.3,2005/05/03 ,76,2,波照間島南西,,D,14:00,14:48,24,2.851,123,44.840,24,3.309,123,44.196,
24.3,2005/05/03 ,77,3,波照間島南西,,D,15:27,16:04,24,2.834,123,44.793,24,3.205,123,44.124,
24.3,2010/08/05 ,687,1,仲御神島南,,D,11:00,11:46,24,11.574,123,34.167,24,11.955,123,34.384,
24.3,2010/08/05 ,688,2,仲御神島南,,D,12:04,12:49,24,11.589,123,34.176,24,11.877,123,34.208,
24.3,2010/08/05 ,689,3,仲御神島東,,A,14:25,14:57,24,11.759,123,34.562,24,11.762,123,34.556,
24.5,2011/04/28 ,755,1,黒島東,ケングチ,D,10:18,10:57,24,13.599,124,2.522,24,13.268,124,2.125,
24.5,2011/04/28 ,756,2,黒島東,ケングチ,D,11:31,12:15,24,13.115,124,1.640,24,12.665,124,1.024,
24.5,2011/04/28 ,757,3,竹富島南,カタグァー,D,14:19,15:07,24,14.894,124,5.805,24,14.965,124,5.460,
24.7,5013/05/05 ,844,1,西表島パイミ崎,,D,10:58,11:37,24,18.406,123,39.642,24,18.204,123,39.764,
24.7,5013/05/05 ,845,2,西表島崎山湾,,D,12:23,13:12,24,18.750,123,39.694,24,18.350,123,39.681,
24.7,5013/05/05 ,846,3,西表島崎山湾,,D,15:05,15:46,24,18.956,123,40.005,24,18.821,123,39.774,
25.0,2009/08/16 ,538,1,石垣島カラ岳東,モリヤマグチ,D,09:56,10:52,24,23.943,124,15.997,24,23.742,124,15.894,
25.0,2009/08/16 ,539,2,石垣島カラ岳東,モリヤマ,D,11:15,12:00,24,22.856,124,15.727,24,23.124,124,15.670,
25.0,2009/08/16 ,540,3,石垣島白保崎,シラホドオン,D,15:08,16:04,24,21.500,124,15.580,24,21.021,124,15.504,
25.1,2005/11/27 ,171,1,石垣島平久保東,ヤッチャグチ,D,10:35,11:11,24,33.763,124,20.002,24,33.652,124,20.040,124.333996
25.1,2005/11/27 ,172,2,石垣島平久保東,ヤッチャグチ,D,11:16,12:37,24,33.437,124,20.001,24,33.302,124,19.740,124.329
25.1,2005/11/27 ,173,3,石垣島玉取崎東,タマトリトゥガイ,D,15:13,16:02,24,29.772,124,17.826,24,28.971,124,17.915,124.298582
25.5,2011/04/29 ,758,1,ヨナラ水道,,D,10:12,11:05,24,21.210,123,57.223,24,20.742,123,57.001,
25.5,2011/04/29 ,759,2,小浜島北西,クバマビシ,D,12:02,12:55,24,22.144,123,57.892,24,22.116,123,57.526,
25.5,2011/04/29 ,760,3,西表島野原崎北,ヨナランジュ,D,14:31,15:19,24,22.102,123,57.101,24,22.375,123,56.952,
25.7,2013/05/06 ,847,1,波照間島北西,,D,10:49,11:30,24,4.615,123,43.217,24,4.231,123,43.118,
25.7,2013/05/06 ,848,2,波照間島北西,,D,12:10,12:51,24,4.487,123,43.370,24,4.259,123,42.844,
25.7,2013/05/06 ,849,3,波照間島南西,,D,14:10,15:06,24,2.841,123,45.103,24,3.010,123,44.545,
