20200322 20:45:10 UTC
China,80849.0,81054.0,1915.995
DiamondPrincess,696.0,712.0,213.480
S.Korea,8162.0,8897.0,56.272
Qatar,401.0,481.0,26.673
Japan,839.0,1086.0,18.803
Bahrain,214.0,332.0,11.048
Iran,13938.0,21638.0,11.032
Palestine,38.0,59.0,11.029
UAE,98.0,153.0,10.892
Denmark,864.0,1395.0,10.128
Georgia,33.0,54.0,9.852
Kuwait,112.0,188.0,9.368
SanMarino,101.0,175.0,8.827
Brunei,50.0,88.0,8.583
Norway,1249.0,2263.0,8.164
Sweden,1040.0,1931.0,7.841
Iraq,124.0,233.0,7.692
Greece,331.0,624.0,7.653
Slovenia,219.0,414.0,7.619
Jamaica,10.0,19.0,7.559
Estonia,171.0,326.0,7.520
Total:,168897.0,334468.0,7.101
Macao,11.0,22.0,7.000
Singapore,226.0,455.0,6.934
Vietnam,56.0,113.0,6.911
Albania,42.0,89.0,6.461
HongKong,149.0,317.0,6.427
Egypt,126.0,294.0,5.726
Italy,24747.0,59138.0,5.570
Bolivia,10.0,24.0,5.542
Oman,22.0,55.0,5.295
Afghanistan,16.0,40.0,5.295
Lebanon,99.0,248.0,5.284
Finland,244.0,626.0,5.150
FrenchGuiana,7.0,18.0,5.137
Philippines,140.0,380.0,4.859
Ethiopia,4.0,11.0,4.796
Senegal,24.0,67.0,4.726
Belarus,27.0,76.0,4.688
Azerbaijan,23.0,65.0,4.670
Taiwan,59.0,169.0,4.611
Cyprus,33.0,95.0,4.589
France,5423.0,16018.0,4.480
Slovakia,61.0,185.0,4.373
Malaysia,428.0,1306.0,4.349
Romania,139.0,433.0,4.270
Paraguay,7.0,22.0,4.237
Iceland,174.0,568.0,4.101
Switzerland,2217.0,7474.0,3.993
Ghana,6.0,21.0,3.873
IvoryCoast,4.0,14.0,3.873
India,112.0,396.0,3.842
Bulgaria,51.0,185.0,3.766
Spain,7843.0,28603.0,3.750
Martinique,10.0,37.0,3.709
Netherlands,1135.0,4204.0,3.706
Tunisia,20.0,75.0,3.671
CostaRica,35.0,134.0,3.614
Belgium,886.0,3401.0,3.607
Austria,860.0,3302.0,3.607
Morocco,28.0,109.0,3.570
BosniaandHerzegovina,24.0,94.0,3.554
UK,1391.0,5683.0,3.447
Moldova,23.0,94.0,3.447
Hungary,32.0,131.0,3.442
Algeria,48.0,201.0,3.388
Germany,5813.0,24806.0,3.344
Malta,21.0,90.0,3.334
SaudiArabia,118.0,511.0,3.310
Indonesia,117.0,514.0,3.278
Czechia,253.0,1120.0,3.261
SouthAfrica,61.0,274.0,3.230
Canada,317.0,1426.0,3.227
Guyana,4.0,18.0,3.226
Australia,300.0,1353.0,3.221
SriLanka,18.0,82.0,3.200
Serbia,48.0,222.0,3.168
Latvia,30.0,139.0,3.164
Argentina,45.0,225.0,3.015
FrenchPolynesia,3.0,15.0,3.015
Kenya,3.0,15.0,3.015
Israel,213.0,1071.0,3.004
Poland,123.0,627.0,2.979
Peru,71.0,363.0,2.974
Croatia,49.0,254.0,2.949
Thailand,114.0,599.0,2.925
Liechtenstein,7.0,37.0,2.914
Ireland,170.0,906.0,2.900
Bangladesh,5.0,27.0,2.877
Panama,43.0,245.0,2.788
PuertoRico,4.0,23.0,2.774
Russia,63.0,367.0,2.753
Mexico,43.0,251.0,2.750
NorthMacedonia,19.0,115.0,2.695
Portugal,245.0,1600.0,2.586
Kazakhstan,9.0,59.0,2.580
Réunion,7.0,47.0,2.548
Colombia,34.0,231.0,2.532
Cambodia,12.0,84.0,2.493
Venezuela,10.0,70.0,2.493
Armenia,26.0,194.0,2.414
NewZealand,8.0,66.0,2.299
Chile,75.0,632.0,2.276
Honduras,3.0,26.0,2.247
Cuba,4.0,35.0,2.237
Guam,3.0,27.0,2.208
USA,3400.0,32356.0,2.154
Brazil,121.0,1209.0,2.108
Luxembourg,77.0,798.0,2.075
FaeroeIslands,11.0,115.0,2.067
ChannelIslands,3.0,32.0,2.050
Lithuania,12.0,129.0,2.043
Uzbekistan,4.0,43.0,2.043
Mayotte,1.0,11.0,2.023
Jordan,10.0,112.0,2.008
Monaco,2.0,23.0,1.987
Pakistan,53.0,646.0,1.940
Nigeria,2.0,30.0,1.792
DRC,2.0,30.0,1.792
Gibraltar,1.0,15.0,1.792
Ukraine,3.0,47.0,1.763
Togo,1.0,16.0,1.750
Guatemala,1.0,17.0,1.713
Rwanda,1.0,17.0,1.713
DominicanRepublic,11.0,202.0,1.667
Guadeloupe,3.0,56.0,1.658
Cameroon,2.0,40.0,1.620
Ecuador,37.0,789.0,1.586
Uruguay,6.0,135.0,1.558
Andorra,5.0,113.0,1.556
BurkinaFaso,3.0,75.0,1.507
TrinidadandTobago,2.0,50.0,1.507
Turkey,6.0,1236.0,0.911
