番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
39,XT,久慈,40゜12',141゜48',89.0,-,-,30.35,105.82,13.91,144.26,23.36,163.47,18.61,146.31,-,
40,MY,宮古,39゜39',141゜59',83.0,2.6,-80.4,30.30,108.34,14.09,146.30,23.93,166.88,19.49,149.51,2019年,＊２
41,Q6,釜石,39゜16',141゜53',86.0,0.7,-85.3,30.25,110.24,13.98,147.43,23.23,167.84,18.84,151.85,-,
42,OF,大船渡,39゜01',141゜45',88.0,-2.1,-90.1,30.58,110.77,14.17,147.52,23.48,166.88,18.66,150.40,2019年,＊２
43,AY,鮎川,38゜18',141゜30',88.0,-7.9,-95.9,31.73,114.29,14.77,149.78,24.09,169.36,19.40,152.49,2019年,＊２
44,E6,石巻,38゜24',141゜16',90.0,-,-,32.88,114.81,15.35,149.86,24.34,169.24,19.63,152.04,-,
45,SG,塩釜,38゜19',141゜02',92.0,-,-,34.72,117.82,15.82,152.91,24.73,170.41,19.50,153.96,-,
46,SD,仙台新港,38゜16',141゜00',93.0,-,-,33.14,115.49,15.38,150.30,24.37,169.27,19.53,152.91,-,
47,ZM,相馬,37゜50',140゜58',88.0,-4.7,-92.7,32.99,117.43,15.35,152.37,24.46,171.31,19.61,154.87,-,
48,ON,小名浜,36゜56',140゜54',84.0,-3.5,-87.5,30.47,123.04,14.44,156.26,21.80,173.43,17.27,156.79,2019年,
49,D1,日立,36゜30',140゜38',86.0,-,-,30.94,122.30,14.62,155.15,22.42,169.65,17.45,152.31,-,
50,D3,大洗,36゜18',140゜34',87.0,-,-,30.22,124.01,14.47,157.16,22.98,169.67,17.67,151.46,-,
51,D2,鹿島,35゜56',140゜42',89.0,-,-,30.73,125.55,14.60,158.71,23.83,173.06,18.99,153.20,-,
52,CS,銚子漁港,35゜45',140゜52',90.0,1.5,-88.5,30.31,127.72,14.45,160.86,23.29,174.91,18.90,155.67,2019年,＊３
53,ZF,勝浦,35゜08',140゜15',90.0,-1.5,-91.5,35.64,140.73,16.42,170.07,22.41,176.91,17.40,158.73,-,
54,MR,布良,34゜55',139゜50',90.0,8.5,-81.5,35.47,140.34,16.85,169.94,23.39,176.62,18.23,157.10,2019年,
55,TT,館山,34゜59',139゜51',100.0,-,-,37.30,147.60,17.20,174.00,24.20,177.70,16.90,157.30,-,
56,KZ,木更津,35゜22',139゜55',115.0,-,-,44.10,150.70,21.50,179.30,24.40,177.60,19.00,159.80,-,
57,QL,千葉,35゜34',140゜03',120.0,6.0,-114.0,47.92,152.44,23.76,180.75,25.33,178.69,19.76,160.09,-,
58,CB,千葉港,35゜36',140゜06',120.0,-,-,47.94,153.19,23.64,181.17,25.18,179.15,19.68,160.59,-,
59,TK,東京,35゜39',139゜46',120.0,4.0,-116.0,47.85,153.77,23.71,182.13,25.27,179.17,19.67,160.48,2019年,
60,KW,川崎,35゜31',139゜45',115.0,-,-,45.30,152.86,22.35,181.29,24.86,179.19,19.70,160.21,-,
61,YK,京浜港,35゜28',139゜38',115.0,-,-,44.05,152.58,21.73,180.91,24.76,178.68,19.35,159.92,-,
62,QS,横浜,35゜27',139゜39',115.0,3.3,-111.7,44.16,152.41,21.77,180.90,24.69,178.77,19.33,160.10,-,
63,HM,本牧,35゜26',139゜40',115.0,-,-,44.50,152.66,21.84,181.90,24.59,178.87,19.38,160.50,-,
64,QN,横須賀,35゜17',139゜39',110.0,5.1,-104.9,40.78,151.78,19.98,180.54,24.18,178.67,18.98,160.13,-,
65,Z1,油壺,35゜10',139゜37',93.0,2.8,-90.2,35.92,146.43,16.99,174.40,23.22,176.86,18.20,158.12,-,
66,OK,岡田,34゜47',139゜23',90.0,0.2,-89.8,33.89,144.89,16.23,173.46,22.82,178.41,17.94,159.54,2019年,
