Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-02-01 00:00,-0.837,0.085,0,0,0,0,v
2018-02-01 00:06,-0.659,0.082,0,0,0,0,v
2018-02-01 00:12,-0.459,0.085,0,0,0,0,v
2018-02-01 00:18,-0.256,0.079,0,0,0,0,v
2018-02-01 00:24,-0.016,0.098,0,0,0,0,v
2018-02-01 00:30,0.243,0.102,0,0,0,0,v
2018-02-01 00:36,0.522,0.108,0,0,0,0,v
2018-02-01 00:42,0.853,0.121,0,0,0,0,v
2018-02-01 00:48,1.198,0.115,0,0,0,0,v
2018-02-01 00:54,1.565,0.115,0,0,0,0,v
2018-02-01 01:00,1.926,0.138,0,0,0,0,v
2018-02-01 01:06,2.306,0.141,0,0,0,0,v
2018-02-01 01:12,2.694,0.138,0,0,0,0,v
2018-02-01 01:18,3.077,0.131,0,0,0,0,v
2018-02-01 01:24,3.442,0.125,0,0,0,0,v
2018-02-01 01:30,3.819,0.125,0,0,0,0,v
2018-02-01 01:36,4.180,0.118,0,0,0,0,v
2018-02-01 01:42,4.531,0.112,0,0,0,0,v
2018-02-01 01:48,4.892,0.112,0,0,0,0,v
2018-02-01 01:54,5.223,0.125,0,0,0,0,v
2018-02-01 02:00,5.515,0.128,0,0,0,0,v
2018-02-01 02:06,5.814,0.112,0,0,0,0,v
2018-02-01 02:12,6.076,0.098,0,0,0,0,v
2018-02-01 02:18,6.325,0.105,0,0,0,0,v
2018-02-01 02:24,6.545,0.095,0,0,0,0,v
2018-02-01 02:30,6.742,0.089,0,0,0,0,v
2018-02-01 02:36,6.909,0.082,0,0,0,0,v
2018-02-01 02:42,7.057,0.072,0,0,0,0,v
2018-02-01 02:48,7.169,0.062,0,0,0,0,v
2018-02-01 02:54,7.257,0.062,0,0,0,0,v
2018-02-01 03:00,7.356,0.066,0,0,0,0,v
2018-02-01 03:06,7.438,0.059,0,0,0,0,v
2018-02-01 03:12,7.474,0.049,0,0,0,0,v
2018-02-01 03:18,7.487,0.056,0,0,0,0,v
2018-02-01 03:24,7.484,0.056,0,0,0,0,v
2018-02-01 03:30,7.480,0.046,0,0,0,0,v
2018-02-01 03:36,7.457,0.049,0,0,0,0,v
2018-02-01 03:42,7.425,0.052,0,0,0,0,v
2018-02-01 03:48,7.388,0.049,0,0,0,0,v
2018-02-01 03:54,7.385,0.056,0,0,0,0,v
2018-02-01 04:00,7.339,0.046,0,0,0,0,v
2018-02-01 04:06,7.343,0.052,0,0,0,0,v
2018-02-01 04:12,7.339,0.056,0,0,0,0,v
2018-02-01 04:18,7.336,0.046,0,0,0,0,v
2018-02-01 04:24,7.336,0.046,0,0,0,0,v
2018-02-01 04:30,7.343,0.036,0,0,0,0,v
2018-02-01 04:36,7.349,0.046,0,0,0,0,v
2018-02-01 04:42,7.359,0.036,0,0,0,0,v
2018-02-01 04:48,7.352,0.043,0,0,0,0,v
2018-02-01 04:54,7.333,0.036,0,0,0,0,v
2018-02-01 05:00,7.343,0.036,0,0,0,0,v
2018-02-01 05:06,7.352,0.043,0,0,0,0,v
2018-02-01 05:12,7.333,0.046,0,0,0,0,v
2018-02-01 05:18,7.300,0.043,0,0,0,0,v
2018-02-01 05:24,7.274,0.043,0,0,0,0,v
2018-02-01 05:30,7.231,0.043,0,0,0,0,v
2018-02-01 05:36,7.178,0.059,0,0,0,0,v
2018-02-01 05:42,7.100,0.059,0,0,0,0,v
2018-02-01 05:48,7.028,0.056,0,0,0,0,v
2018-02-01 05:54,6.932,0.062,0,0,0,0,v
2018-02-01 06:00,6.824,0.069,0,0,0,0,v
2018-02-01 06:06,6.696,0.062,0,0,0,0,v
2018-02-01 06:12,6.565,0.066,0,0,0,0,v
2018-02-01 06:18,6.401,0.069,0,0,0,0,v
2018-02-01 06:24,6.224,0.066,0,0,0,0,v
2018-02-01 06:30,6.033,0.085,0,0,0,0,v
2018-02-01 06:36,5.814,0.085,0,0,0,0,v
2018-02-01 06:42,5.587,0.092,0,0,0,0,v
2018-02-01 06:48,5.358,0.105,0,0,0,0,v
2018-02-01 06:54,5.108,0.092,0,0,0,0,v
2018-02-01 07:00,4.836,0.102,0,0,0,0,v
2018-02-01 07:06,4.567,0.105,0,0,0,0,v
2018-02-01 07:12,4.288,0.102,0,0,0,0,v
2018-02-01 07:18,4.009,0.095,0,0,0,0,v
2018-02-01 07:24,3.717,0.112,0,0,0,0,v
2018-02-01 07:30,3.448,0.115,0,0,0,0,v
2018-02-01 07:36,3.156,0.098,0,0,0,0,v
2018-02-01 07:42,2.861,0.095,0,0,0,0,v
2018-02-01 07:48,2.566,0.092,0,0,0,0,v
2018-02-01 07:54,2.290,0.105,0,0,0,0,v
2018-02-01 08:00,2.018,0.092,0,0,0,0,v
2018-02-01 08:06,1.752,0.098,0,0,0,0,v
2018-02-01 08:12,1.509,0.095,0,0,0,0,v
2018-02-01 08:18,1.263,0.079,0,0,0,0,v
2018-02-01 08:24,1.027,0.085,0,0,0,0,v
2018-02-01 08:30,0.804,0.092,0,0,0,0,v
2018-02-01 08:36,0.587,0.089,0,0,0,0,v
2018-02-01 08:42,0.367,0.072,0,0,0,0,v
2018-02-01 08:48,0.174,0.085,0,0,0,0,v
2018-02-01 08:54,-0.020,0.066,0,0,0,0,v
2018-02-01 09:00,-0.203,0.059,0,0,0,0,v
2018-02-01 09:06,-0.364,0.062,0,0,0,0,v
2018-02-01 09:12,-0.515,0.059,0,0,0,0,v
2018-02-01 09:18,-0.640,0.059,0,0,0,0,v
2018-02-01 09:24,-0.755,0.072,0,0,0,0,v
2018-02-01 09:30,-0.850,0.059,0,0,0,0,v
2018-02-01 09:36,-0.912,0.059,0,0,0,0,v
2018-02-01 09:42,-0.974,0.052,0,0,0,0,v
2018-02-01 09:48,-1.004,0.049,0,0,0,0,v
2018-02-01 09:54,-1.010,0.049,0,0,0,0,v
2018-02-01 10:00,-1.004,0.046,0,0,0,0,v
2018-02-01 10:06,-1.004,0.043,0,0,0,0,v
2018-02-01 10:12,-1.004,0.052,0,0,0,0,v
2018-02-01 10:18,-0.965,0.052,0,0,0,0,v
2018-02-01 10:24,-0.965,0.052,0,0,0,0,v
2018-02-01 10:30,-0.942,0.049,0,0,0,0,v
2018-02-01 10:36,-0.951,0.039,0,0,0,0,v
2018-02-01 10:42,-0.958,0.049,0,0,0,0,v
2018-02-01 10:48,-0.951,0.039,0,0,0,0,v
2018-02-01 10:54,-0.945,0.043,0,0,0,0,v
2018-02-01 11:00,-0.951,0.039,0,0,0,0,v
2018-02-01 11:06,-0.922,0.030,0,0,0,0,v
2018-02-01 11:12,-0.922,0.039,0,0,0,0,v
