Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-04-01 00:00,0.030,0.075,0,0,0,0,v
2018-04-01 00:06,0.197,0.082,0,0,0,0,v
2018-04-01 00:12,0.387,0.089,0,0,0,0,v
2018-04-01 00:18,0.574,0.098,0,0,0,0,v
2018-04-01 00:24,0.807,0.095,0,0,0,0,v
2018-04-01 00:30,1.066,0.102,0,0,0,0,v
2018-04-01 00:36,1.306,0.108,0,0,0,0,v
2018-04-01 00:42,1.591,0.108,0,0,0,0,v
2018-04-01 00:48,1.880,0.102,0,0,0,0,v
2018-04-01 00:54,2.192,0.108,0,0,0,0,v
2018-04-01 01:00,2.497,0.115,0,0,0,0,v
2018-04-01 01:06,2.815,0.095,0,0,0,0,v
2018-04-01 01:12,3.114,0.121,0,0,0,0,v
2018-04-01 01:18,3.425,0.108,0,0,0,0,v
2018-04-01 01:24,3.740,0.108,0,0,0,0,v
2018-04-01 01:30,4.042,0.112,0,0,0,0,v
2018-04-01 01:36,4.350,0.115,0,0,0,0,v
2018-04-01 01:42,4.659,0.112,0,0,0,0,v
2018-04-01 01:48,4.964,0.112,0,0,0,0,v
2018-04-01 01:54,5.262,0.115,0,0,0,0,v
2018-04-01 02:00,5.528,0.108,0,0,0,0,v
2018-04-01 02:06,5.810,0.105,0,0,0,0,v
2018-04-01 02:12,6.083,0.098,0,0,0,0,v
2018-04-01 02:18,6.332,0.102,0,0,0,0,v
2018-04-01 02:24,6.555,0.095,0,0,0,0,v
2018-04-01 02:30,6.781,0.089,0,0,0,0,v
2018-04-01 02:36,6.978,0.085,0,0,0,0,v
2018-04-01 02:42,7.175,0.079,0,0,0,0,v
2018-04-01 02:48,7.359,0.072,0,0,0,0,v
2018-04-01 02:54,7.500,0.075,0,0,0,0,v
2018-04-01 03:00,7.644,0.075,0,0,0,0,v
2018-04-01 03:06,7.795,0.069,0,0,0,0,v
2018-04-01 03:12,7.907,0.072,0,0,0,0,v
2018-04-01 03:18,7.982,0.059,0,0,0,0,v
2018-04-01 03:24,8.064,0.052,0,0,0,0,v
2018-04-01 03:30,8.136,0.056,0,0,0,0,v
2018-04-01 03:36,8.176,0.059,0,0,0,0,v
2018-04-01 03:42,8.196,0.049,0,0,0,0,v
2018-04-01 03:48,8.196,0.049,0,0,0,0,v
2018-04-01 03:54,8.225,0.056,0,0,0,0,v
2018-04-01 04:00,8.225,0.049,0,0,0,0,v
2018-04-01 04:06,8.209,0.056,0,0,0,0,v
2018-04-01 04:12,8.215,0.039,0,0,0,0,v
2018-04-01 04:18,8.215,0.052,0,0,0,0,v
2018-04-01 04:24,8.222,0.046,0,0,0,0,v
2018-04-01 04:30,8.219,0.046,0,0,0,0,v
2018-04-01 04:36,8.225,0.049,0,0,0,0,v
2018-04-01 04:42,8.225,0.049,0,0,0,0,v
2018-04-01 04:48,8.241,0.049,0,0,0,0,v
2018-04-01 04:54,8.251,0.052,0,0,0,0,v
2018-04-01 05:00,8.245,0.056,0,0,0,0,v
2018-04-01 05:06,8.241,0.062,0,0,0,0,v
2018-04-01 05:12,8.241,0.056,0,0,0,0,v
2018-04-01 05:18,8.232,0.079,0,0,0,0,v
2018-04-01 05:24,8.173,0.069,0,0,0,0,v
2018-04-01 05:30,8.114,0.062,0,0,0,0,v
2018-04-01 05:36,8.058,0.072,0,0,0,0,v
2018-04-01 05:42,7.995,0.072,0,0,0,0,v
2018-04-01 05:48,7.887,0.082,0,0,0,0,v
2018-04-01 05:54,7.782,0.066,0,0,0,0,v
2018-04-01 06:00,7.677,0.075,0,0,0,0,v
2018-04-01 06:06,7.523,0.069,0,0,0,0,v
2018-04-01 06:12,7.379,0.085,0,0,0,0,v
2018-04-01 06:18,7.211,0.089,0,0,0,0,v
2018-04-01 06:24,7.054,0.085,0,0,0,0,v
2018-04-01 06:30,6.844,0.098,0,0,0,0,v
2018-04-01 06:36,6.647,0.105,0,0,0,0,v
2018-04-01 06:42,6.417,0.098,0,0,0,0,v
2018-04-01 06:48,6.175,0.105,0,0,0,0,v
2018-04-01 06:54,5.912,0.092,0,0,0,0,v
2018-04-01 07:00,5.656,0.115,0,0,0,0,v
2018-04-01 07:06,5.358,0.108,0,0,0,0,v
2018-04-01 07:12,5.079,0.105,0,0,0,0,v
2018-04-01 07:18,4.813,0.105,0,0,0,0,v
2018-04-01 07:24,4.508,0.095,0,0,0,0,v
2018-04-01 07:30,4.222,0.112,0,0,0,0,v
2018-04-01 07:36,3.914,0.105,0,0,0,0,v
2018-04-01 07:42,3.612,0.108,0,0,0,0,v
2018-04-01 07:48,3.310,0.112,0,0,0,0,v
2018-04-01 07:54,3.031,0.112,0,0,0,0,v
2018-04-01 08:00,2.749,0.092,0,0,0,0,v
2018-04-01 08:06,2.480,0.095,0,0,0,0,v
2018-04-01 08:12,2.238,0.098,0,0,0,0,v
2018-04-01 08:18,1.982,0.089,0,0,0,0,v
2018-04-01 08:24,1.762,0.089,0,0,0,0,v
2018-04-01 08:30,1.529,0.072,0,0,0,0,v
2018-04-01 08:36,1.322,0.075,0,0,0,0,v
2018-04-01 08:42,1.106,0.075,0,0,0,0,v
2018-04-01 08:48,0.912,0.075,0,0,0,0,v
2018-04-01 08:54,0.722,0.066,0,0,0,0,v
2018-04-01 09:00,0.558,0.075,0,0,0,0,v
2018-04-01 09:06,0.390,0.062,0,0,0,0,v
2018-04-01 09:12,0.256,0.049,0,0,0,0,v
2018-04-01 09:18,0.118,0.059,0,0,0,0,v
2018-04-01 09:24,-0.003,0.052,0,0,0,0,v
2018-04-01 09:30,-0.105,0.049,0,0,0,0,v
2018-04-01 09:36,-0.197,0.056,0,0,0,0,v
2018-04-01 09:42,-0.266,0.039,0,0,0,0,v
2018-04-01 09:48,-0.308,0.036,0,0,0,0,v
2018-04-01 09:54,-0.351,0.039,0,0,0,0,v
2018-04-01 10:00,-0.381,0.036,0,0,0,0,v
2018-04-01 10:06,-0.394,0.049,0,0,0,0,v
2018-04-01 10:12,-0.410,0.052,0,0,0,0,v
2018-04-01 10:18,-0.400,0.049,0,0,0,0,v
2018-04-01 10:24,-0.394,0.049,0,0,0,0,v
2018-04-01 10:30,-0.407,0.049,0,0,0,0,v
2018-04-01 10:36,-0.413,0.046,0,0,0,0,v
2018-04-01 10:42,-0.407,0.052,0,0,0,0,v
2018-04-01 10:48,-0.413,0.052,0,0,0,0,v
2018-04-01 10:54,-0.440,0.046,0,0,0,0,v
2018-04-01 11:00,-0.453,0.046,0,0,0,0,v
2018-04-01 11:06,-0.469,0.056,0,0,0,0,v
2018-04-01 11:12,-0.482,0.062,0,0,0,0,v
2018-04-01 11:18,-0.492,0.056,0,0,0,0,v
2018-04-01 11:24,-0.509,0.056,0,0,0,0,v
2018-04-01 11:30,-0.499,0.056,0,0,0,0,v
2018-04-01 11:36,-0.486,0.043,0,0,0,0,v
2018-04-01 11:42,-0.453,0.056,0,0,0,0,v
2018-04-01 11:48,-0.404,0.049,0,0,0,0,v
2018-04-01 11:54,-0.367,0.052,0,0,0,0,v
2018-04-01 12:00,-0.308,0.046,0,0,0,0,v
2018-04-01 12:06,-0.226,0.049,0,0,0,0,v
2018-04-01 12:12,-0.141,0.043,0,0,0,0,v
2018-04-01 12:18,-0.036,0.056,0,0,0,0,v
