name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,239,80,148.0,11.0,,,
Aomori,青森県,14,11,3.0,0.0,,,
Iwate,岩手県,0,0,0.0,0.0,,,
Miyagi,宮城県,37,36,1.0,0.0,,,
Akita,秋田県,12,7,5.0,0.0,,,
Yamagata,山形県,27,27,0.0,0.0,,,
Fukushima,福島県,36,33,3.0,0.0,,,
Ibaraki,茨城県,82,72,7.0,3.0,,,
Tochigi,栃木県,31,26,5.0,0.0,,,
Gunma,群馬県,35,29,5.0,1.0,,,
Saitama,埼玉県,325,295,25.0,5.0,,,
Chiba,千葉県,375,336,37.0,2.0,,,
Tokyo,東京都,1717,1641,57.0,19.0,,,
Kanagawa,神奈川県,425,375,44.0,6.0,,,
Niigata,新潟県,41,17,24.0,0.0,,,
Toyama,富山県,23,23,0.0,0.0,,,
Ishikawa,石川県,92,87,5.0,0.0,,,
Fukui,福井県,76,68,6.0,2.0,,,
Yamanashi,山梨県,27,25,2.0,0.0,,,
Nagano,長野県,28,25,3.0,0.0,,,
Gifu,岐阜県,82,76,5.0,1.0,,,
Shizuoka,静岡県,34,31,3.0,0.0,,,
Aichi,愛知県,313,228,63.0,22.0,,,
Mie,三重県,15,10,5.0,0.0,,,
Shiga,滋賀県,34,31,3.0,0.0,,,
Kyoto,京都府,168,138,29.0,1.0,,,
Osaka,大阪府,697,570,121.0,6.0,,,
Hyogo,兵庫県,316,245,59.0,12.0,,,
Nara,奈良県,37,29,8.0,0.0,,,
Wakayama,和歌山県,33,17,15.0,1.0,,,
Tottori,鳥取県,1,1,0.0,0.0,,,
Shimane,島根県,2,2,0.0,0.0,,,
Okayama,岡山県,16,15,1.0,0.0,,,
Hiroshima,広島県,25,22,3.0,0.0,,,
Yamaguchi,山口県,17,14,3.0,0.0,,,
Tokushima,徳島県,3,2,1.0,0.0,,,
Kagawa,香川県,4,4,0.0,0.0,,,
Ehime,愛媛県,28,23,4.0,1.0,,,
Kochi,高知県,52,40,12.0,0.0,,,
Fukuoka,福岡県,224,217,7.0,0.0,,,
Saga,佐賀県,12,11,1.0,0.0,,,
Nagasaki,長崎県,14,12,2.0,0.0,,,
Kumamoto,熊本県,23,18,4.0,1.0,,,
Oita,大分県,42,32,10.0,0.0,,,
Miyazaki,宮崎県,16,13,3.0,0.0,,,
Kagoshima,鹿児島県,3,3,0.0,0.0,,,
Okinawa,沖縄県,49,46,3.0,0.0,,,
Zenkoku,全国,5902,5063,745.0,94.0,,,
