name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,562,341,196.0,25.0,,,
Aomori,青森県,22,8,14.0,0.0,,,
Iwate,岩手県,0,0,0.0,0.0,,,
Miyagi,宮城県,84,55,29.0,0.0,,,
Akita,秋田県,16,9,7.0,0.0,,,
Yamagata,山形県,66,49,17.0,0.0,,,
Fukushima,福島県,66,47,19.0,0.0,,,
Ibaraki,茨城県,157,127,24.0,6.0,,,
Tochigi,栃木県,53,40,13.0,0.0,,,
Gunma,群馬県,140,117,14.0,9.0,,,
Saitama,埼玉県,767,718,34.0,15.0,,,
Chiba,千葉県,768,655,95.0,18.0,,,
Tokyo,東京都,3747,3669,59.0,19.0,,,
Kanagawa,神奈川県,912,765,123.0,24.0,,,
Niigata,新潟県,65,32,33.0,0.0,,,
Toyama,富山県,163,151,9.0,3.0,,,
Ishikawa,石川県,222,201,16.0,5.0,,,
Fukui,福井県,120,81,34.0,5.0,,,
Yamanashi,山梨県,51,29,22.0,0.0,,,
Nagano,長野県,67,59,8.0,0.0,,,
Gifu,岐阜県,146,115,24.0,7.0,,,
Shizuoka,静岡県,59,46,13.0,0.0,,,
Aichi,愛知県,474,378,66.0,30.0,,,
Mie,三重県,45,33,11.0,1.0,,,
Shiga,滋賀県,93,79,13.0,1.0,,,
Kyoto,京都府,286,186,93.0,7.0,,,
Osaka,大阪府,1448,1177,246.0,25.0,,,
Hyogo,兵庫県,605,520,68.0,17.0,,,
Nara,奈良県,76,61,14.0,1.0,,,
Wakayama,和歌山県,52,28,23.0,1.0,,,
Tottori,鳥取県,3,3,0.0,0.0,,,
Shimane,島根県,16,14,2.0,0.0,,,
Okayama,岡山県,20,15,5.0,0.0,,,
Hiroshima,広島県,142,127,14.0,1.0,,,
Yamaguchi,山口県,31,15,16.0,0.0,,,
Tokushima,徳島県,5,2,3.0,0.0,,,
Kagawa,香川県,28,24,4.0,0.0,,,
Ehime,愛媛県,47,24,20.0,3.0,,,
Kochi,高知県,71,41,28.0,2.0,,,
Fukuoka,福岡県,584,433,136.0,15.0,,,
Saga,佐賀県,32,26,6.0,0.0,,,
Nagasaki,長崎県,16,9,6.0,1.0,,,
Kumamoto,熊本県,43,33,9.0,1.0,,,
Oita,大分県,60,33,26.0,1.0,,,
Miyazaki,宮崎県,17,10,7.0,0.0,,,
Kagoshima,鹿児島県,10,7,3.0,0.0,,,
Okinawa,沖縄県,133,118,11.0,4.0,,,
Zenkoku,全国,12590,10710,1633.0,247.0,,,
