name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,20994,759,19443.0,749.0,16.0,43.0,448391.0,JP-01
Aomori,青森県,1031,136,875.0,20.0,0.0,0.0,25134.0,JP-02
Iwate,岩手県,621,38,553.0,30.0,0.0,0.0,43843.0,JP-03
Miyagi,宮城県,5915,1391,4493.0,31.0,10.0,0.0,89194.0,JP-04
Akita,秋田県,283,6,271.0,6.0,0.0,0.0,7580.0,JP-05
Yamagata,山形県,948,315,617.0,16.0,1.0,0.0,35071.0,JP-06
Fukushima,福島県,2499,258,2130.0,111.0,11.0,0.0,149208.0,JP-07
Ibaraki,茨城県,6740,322,6291.0,127.0,1.0,0.0,26469.0,JP-08
Tochigi,栃木県,4638,207,4361.0,70.0,2.0,0.0,171640.0,JP-09
Gunma,群馬県,5007,180,4728.0,99.0,3.0,0.0,113724.0,JP-10
Saitama,埼玉県,32828,1420,30708.0,700.0,36.0,0.0,647531.0,JP-11
Chiba,千葉県,29634,1088,27978.0,568.0,22.0,0.0,474663.0,JP-12
Tokyo,東京都,120986,3204,116012.0,1770.0,45.0,0.0,1762746.0,JP-13
Kanagawa,神奈川県,48071,843,46447.0,781.0,21.0,0.0,695356.0,JP-14
Niigata,新潟県,1461,187,1256.0,18.0,2.0,0.0,82296.0,JP-15
Toyama,富山県,938,21,888.0,29.0,0.0,0.0,41749.0,JP-16
Ishikawa,石川県,1911,21,1824.0,64.0,0.0,2.0,60344.0,JP-17
Fukui,福井県,589,38,526.0,25.0,0.0,0.0,35659.0,JP-18
Yamanashi,山梨県,968,11,938.0,19.0,0.0,0.0,30877.0,JP-19
Nagano,長野県,2796,240,2524.0,41.0,1.0,9.0,116474.0,JP-20
Gifu,岐阜県,4953,130,4698.0,125.0,3.0,0.0,158928.0,JP-21
Shizuoka,静岡県,5708,231,5359.0,118.0,2.0,0.0,246634.0,JP-22
Aichi,愛知県,27264,650,26034.0,580.0,11.0,0.0,463713.0,JP-23
Mie,三重県,2753,131,2632.0,70.0,2.0,80.0,76136.0,JP-24
Shiga,滋賀県,2770,96,2619.0,55.0,5.0,0.0,86514.0,JP-25
Kyoto,京都府,9460,209,9093.0,169.0,1.0,11.0,177218.0,JP-26
Osaka,大阪府,52201,3178,47421.0,1184.0,92.0,418.0,1047093.0,JP-27
Hyogo,兵庫県,19848,1136,18125.0,587.0,64.0,0.0,295406.0,JP-28
Nara,奈良県,3771,278,3438.0,55.0,3.0,0.0,96480.0,JP-29
Wakayama,和歌山県,1287,89,1156.0,18.0,4.0,24.0,26694.0,JP-30
Tottori,鳥取県,241,25,205.0,2.0,0.0,9.0,47802.0,JP-31
Shimane,島根県,287,1,286.0,0.0,0.0,0.0,17590.0,JP-32
Okayama,岡山県,2693,76,2524.0,35.0,4.0,58.0,78444.0,JP-33
Hiroshima,広島県,5151,74,4964.0,106.0,1.0,7.0,180106.0,JP-34
Yamaguchi,山口県,1418,24,1351.0,43.0,0.0,0.0,68811.0,JP-35
Tokushima,徳島県,535,71,446.0,18.0,2.0,0.0,32160.0,JP-36
Kagawa,香川県,836,66,754.0,19.0,0.0,3.0,51035.0,JP-37
Ehime,愛媛県,1365,287,1054.0,24.0,0.0,0.0,38877.0,JP-38
Kochi,高知県,917,10,888.0,19.0,2.0,0.0,7442.0,JP-39
Fukuoka,福岡県,18985,373,18280.0,332.0,5.0,0.0,508894.0,JP-40
Saga,佐賀県,1189,35,1162.0,13.0,1.0,21.0,31922.0,JP-41
Nagasaki,長崎県,1634,18,1577.0,39.0,0.0,0.0,77377.0,JP-42
Kumamoto,熊本県,3506,25,3407.0,74.0,2.0,0.0,58021.0,JP-43
Oita,大分県,1309,10,1277.0,22.0,1.0,0.0,92321.0,JP-44
Miyazaki,宮崎県,1966,13,1924.0,22.0,0.0,7.0,24825.0,JP-45
Kagoshima,鹿児島県,1830,51,1772.0,28.0,0.0,21.0,73230.0,JP-46
Okinawa,沖縄県,9482,697,8663.0,128.0,4.0,6.0,164199.0,JP-47
Zenkoku,全国,472217,18669,443972.0,9159.0,,,,
