name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,53966,4961,47591.0,1437.0,16.0,23.0,954184.0,JP-01
Aomori,青森県,3708,629,3046.0,33.0,1.0,0.0,65555.0,JP-02
Iwate,岩手県,2740,346,2346.0,48.0,2.0,0.0,103442.0,JP-03
Miyagi,宮城県,13460,2114,11151.0,96.0,25.0,99.0,196615.0,JP-04
Akita,秋田県,1463,269,1173.0,21.0,2.0,0.0,20188.0,JP-05
Yamagata,山形県,2942,437,2457.0,48.0,5.0,0.0,81502.0,JP-06
Fukushima,福島県,8148,1057,6926.0,165.0,18.0,0.0,352984.0,JP-07
Ibaraki,茨城県,18867,2466,16221.0,180.0,23.0,0.0,37322.0,JP-08
Tochigi,栃木県,12079,2057,9922.0,100.0,17.0,0.0,381205.0,JP-09
Gunma,群馬県,13310,2528,10624.0,158.0,22.0,0.0,247150.0,JP-10
Saitama,埼玉県,91038,25701,63080.0,872.0,164.0,1385.0,1251098.0,JP-11
Chiba,千葉県,76248,13776,61677.0,795.0,102.0,0.0,901106.0,JP-12
Tokyo,東京都,318929,41654,274882.0,2393.0,268.0,0.0,3164327.0,JP-13
Kanagawa,神奈川県,132172,17553,113553.0,1066.0,245.0,0.0,1355494.0,JP-14
Niigata,新潟県,6032,931,5047.0,54.0,3.0,0.0,228695.0,JP-15
Toyama,富山県,3874,1070,2765.0,39.0,9.0,0.0,95627.0,JP-16
Ishikawa,石川県,6882,747,5999.0,121.0,9.0,15.0,158764.0,JP-17
Fukui,福井県,2292,266,1990.0,36.0,1.0,0.0,93122.0,JP-18
Yamanashi,山梨県,3932,692,3219.0,23.0,3.0,2.0,86511.0,JP-19
Nagano,長野県,7268,828,6207.0,94.0,6.0,139.0,259386.0,JP-20
Gifu,岐阜県,13540,2271,10880.0,195.0,4.0,194.0,332258.0,JP-21
Shizuoka,静岡県,18027,5166,12698.0,163.0,28.0,0.0,510880.0,JP-22
Aichi,愛知県,69271,11081,57160.0,1030.0,40.0,0.0,1014154.0,JP-23
Mie,三重県,9838,3158,6761.0,121.0,13.0,202.0,170434.0,JP-24
Shiga,滋賀県,9346,2233,7018.0,95.0,8.0,0.0,193559.0,JP-25
Kyoto,京都府,26743,5787,20119.0,250.0,107.0,587.0,350632.0,JP-26
Osaka,大阪府,151295,21675,125077.0,2771.0,516.0,1772.0,2799201.0,JP-27
Hyogo,兵庫県,57796,6882,49584.0,1331.0,65.0,1.0,622091.0,JP-28
Nara,奈良県,12004,1548,10306.0,135.0,14.0,15.0,209773.0,JP-29
Wakayama,和歌山県,4133,525,3466.0,51.0,21.0,91.0,53060.0,JP-30
Tottori,鳥取県,1270,244,1007.0,3.0,2.0,16.0,115596.0,JP-31
Shimane,島根県,1127,178,947.0,2.0,1.0,0.0,40685.0,JP-32
Okayama,岡山県,11939,1485,8975.0,127.0,7.0,1352.0,208397.0,JP-33
Hiroshima,広島県,16193,1659,13473.0,180.0,11.0,881.0,694007.0,JP-34
Yamaguchi,山口県,4494,777,3634.0,83.0,3.0,0.0,140551.0,JP-35
Tokushima,徳島県,2319,357,1875.0,63.0,1.0,24.0,82442.0,JP-36
Kagawa,香川県,3740,820,2887.0,34.0,8.0,1.0,107783.0,JP-37
Ehime,愛媛県,4273,740,3455.0,78.0,4.0,0.0,121159.0,JP-38
Kochi,高知県,2895,554,2310.0,31.0,2.0,0.0,74310.0,JP-39
Fukuoka,福岡県,58766,10712,46619.0,558.0,35.0,877.0,1053126.0,JP-40
Saga,佐賀県,4557,957,3261.0,27.0,2.0,312.0,79706.0,JP-41
Nagasaki,長崎県,4857,800,3992.0,69.0,0.0,4.0,152800.0,JP-42
Kumamoto,熊本県,11020,2035,8862.0,123.0,14.0,0.0,100962.0,JP-43
Oita,大分県,5966,1480,4421.0,65.0,2.0,0.0,214423.0,JP-44
Miyazaki,宮崎県,4772,1036,3693.0,29.0,3.0,14.0,56729.0,JP-45
Kagoshima,鹿児島県,7113,1962,4960.0,44.0,3.0,147.0,141025.0,JP-46
Okinawa,沖縄県,38498,6363,31771.0,249.0,109.0,115.0,327368.0,JP-47
Zenkoku,全国,1335142,212567,1099087.0,15686.0,,,,
