name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,1681,115,1463.0,103.0,3,0.0,38536.0
Aomori,青森県,33,0,32.0,1.0,0,0.0,1870.0
Iwate,岩手県,11,5,6.0,0.0,0,0.0,2467.0
Miyagi,宮城県,191,9,180.0,2.0,0,0.0,7379.0
Akita,秋田県,45,11,34.0,0.0,0,0.0,1652.0
Yamagata,山形県,77,1,76.0,1.0,0,1.0,3041.0
Fukushima,福島県,124,30,94.0,0.0,0,0.0,12969.0
Ibaraki,茨城県,498,79,408.0,11.0,1,0.0,9791.0
Tochigi,栃木県,288,32,255.0,1.0,2,0.0,19922.0
Gunma,群馬県,374,129,226.0,19.0,0,0.0,11874.0
Saitama,埼玉県,3531,620,2825.0,86.0,11,0.0,97014.0
Chiba,千葉県,2738,506,2173.0,59.0,9,0.0,49257.0
Tokyo,東京都,19121,3209,15562.0,350.0,37,0.0,284343.0
Kanagawa,神奈川県,4370,716,3547.0,107.0,22,0.0,100213.0
Niigata,新潟県,138,12,126.0,0.0,0,0.0,11719.0
Toyama,富山県,338,64,258.0,23.0,3,7.0,6984.0
Ishikawa,石川県,550,153,367.0,30.0,2,0.0,6344.0
Fukui,福井県,161,11,142.0,8.0,1,0.0,6318.0
Yamanashi,山梨県,162,36,125.0,1.0,0,0.0,9028.0
Nagano,長野県,169,30,143.0,,1,4.0,11944.0
Gifu,岐阜県,538,51,478.0,9.0,5,0.0,16638.0
Shizuoka,静岡県,433,51,381.0,1.0,2,0.0,21516.0
Aichi,愛知県,4068,1162,2854.0,52.0,24,0.0,43307.0
Mie,三重県,331,98,230.0,2.0,2,1.0,8367.0
Shiga,滋賀県,384,104,276.0,4.0,2,0.0,7677.0
Kyoto,京都府,1243,239,983.0,21.0,4,0.0,26619.0
Osaka,大阪府,7720,1746,5840.0,129.0,66,5.0,118261.0
Hyogo,兵庫県,2072,277,1746.0,49.0,14,0.0,39318.0
Nara,奈良県,482,137,342.0,3.0,2,0.0,12714.0
Wakayama,和歌山県,225,37,182.0,4.0,1,2.0,8027.0
Tottori,鳥取県,22,8,14.0,0.0,0,0.0,4447.0
Shimane,島根県,134,68,67.0,0.0,0,1.0,4538.0
Okayama,岡山県,135,16,110.0,,-,9.0,5880.0
Hiroshima,広島県,448,27,418.0,3.0,1,0.0,16687.0
Yamaguchi,山口県,107,33,74.0,0.0,0,0.0,5660.0
Tokushima,徳島県,104,57,42.0,1.0,1,4.0,4796.0
Kagawa,香川県,71,10,60.0,1.0,0,0.0,7095.0
Ehime,愛媛県,113,9,98.0,6.0,0,0.0,3668.0
Kochi,高知県,107,18,86.0,3.0,0,0.0,2722.0
Fukuoka,福岡県,3987,845,3095.0,47.0,16,0.0,36994.0
Saga,佐賀県,218,45,174.0,0.0,1,1.0,4425.0
Nagasaki,長崎県,193,26,36.0,3.0,-,128.0,12264.0
Kumamoto,熊本県,466,98,349.0,7.0,4,12.0,10001.0
Oita,大分県,138,48,89.0,1.0,0,0.0,10876.0
Miyazaki,宮崎県,309,73,236.0,1.0,0,1.0,7335.0
Kagoshima,鹿児島県,340,65,261.0,8.0,2,6.0,14082.0
Okinawa,沖縄県,1864,616,1234.0,18.0,15,0.0,20747.0
Zenkoku,全国,60852,11732,47797.0,1175.0,,,
