name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,1503,127,1273.0,103.0,3,0.0,31704.0,
Aomori,青森県,32,2,29.0,1.0,0,0.0,1531.0,
Iwate,岩手県,5,4,1.0,0.0,0,0.0,1784.0,
Miyagi,宮城県,177,24,152.0,1.0,0,0.0,6347.0,
Akita,秋田県,18,2,16.0,0.0,0,0.0,1196.0,
Yamagata,山形県,76,1,75.0,1.0,0,1.0,2946.0,
Fukushima,福島県,91,5,86.0,0.0,0,0.0,10434.0,
Ibaraki,茨城県,356,102,244.0,10.0,1,0.0,8044.0,
Tochigi,栃木県,224,50,161.0,0.0,0,13.0,15040.0,
Gunma,群馬県,208,37,152.0,19.0,0,0.0,8921.0,
Saitama,埼玉県,2688,588,2021.0,79.0,3,0.0,75039.0,
Chiba,千葉県,1996,548,1397.0,51.0,6,0.0,30900.0,
Tokyo,東京都,14645,3305,11007.0,333.0,21,0.0,215559.0,
Kanagawa,神奈川県,2952,471,2381.0,100.0,14,0.0,40667.0,
Niigata,新潟県,122,20,101.0,0.0,0,1.0,7093.0,
Toyama,富山県,266,32,212.0,22.0,0,0.0,5746.0,
Ishikawa,石川県,330,20,283.0,27.0,2,0.0,3368.0,
Fukui,福井県,152,21,123.0,8.0,1,0.0,5328.0,
Yamanashi,山梨県,114,24,89.0,1.0,0,0.0,7652.0,
Nagano,長野県,126,34,92.0,,0,0.0,9003.0,
Gifu,岐阜県,400,149,244.0,7.0,0,0.0,11963.0,
Shizuoka,静岡県,342,129,212.0,1.0,1,0.0,15742.0,
Aichi,愛知県,2535,1569,917.0,37.0,7,12.0,29046.0,
Mie,三重県,179,91,61.0,1.0,0,26.0,5299.0,
Shiga,滋賀県,242,90,151.0,1.0,2,0.0,5042.0,
Kyoto,京都府,903,224,658.0,21.0,3,0.0,20598.0,
Osaka,大阪府,5141,1498,3544.0,93.0,35,6.0,84749.0,
Hyogo,兵庫県,1423,308,1069.0,46.0,8,0.0,29623.0,
Nara,奈良県,293,76,215.0,2.0,1,0.0,9920.0,
Wakayama,和歌山県,173,32,136.0,3.0,2,2.0,6714.0,
Tottori,鳥取県,21,16,5.0,0.0,0,0.0,3868.0,
Shimane,島根県,29,1,29.0,0.0,0,1.0,3027.0,
Okayama,岡山県,103,28,69.0,,-,6.0,3270.0,
Hiroshima,広島県,387,109,269.0,3.0,1,6.0,13999.0,
Yamaguchi,山口県,64,15,49.0,0.0,0,0.0,4221.0,
Tokushima,徳島県,53,29,10.0,1.0,0,13.0,2364.0,
Kagawa,香川県,53,11,42.0,0.0,0,0.0,5029.0,
Ehime,愛媛県,100,13,82.0,5.0,1,0.0,3162.0,
Kochi,高知県,82,3,76.0,3.0,0,0.0,2344.0,
Fukuoka,福岡県,2479,1073,1371.0,35.0,12,0.0,28362.0,
Saga,佐賀県,133,85,64.0,0.0,0,16.0,3036.0,
Nagasaki,長崎県,144,110,32.0,2.0,-,0.0,8429.0,
Kumamoto,熊本県,322,249,68.0,5.0,0,0.0,6845.0,
Oita,大分県,76,16,59.0,1.0,1,0.0,7572.0,
Miyazaki,宮崎県,195,144,51.0,0.0,3,0.0,5806.0,
Kagoshima,鹿児島県,266,76,190.0,2.0,0,2.0,11550.0,
Okinawa,沖縄県,784,598,183.0,7.0,3,0.0,11078.0,
Zenkoku,全国,43003,12159,29751.0,1032.0,,,,
