name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,170928,26549,142295.0,1746.0,5.0,338.0,1648990.0,JP-01
Aomori,青森県,20703,3274,17369.0,60.0,0.0,0.0,159475.0,JP-02
Iwate,岩手県,10478,2784,7635.0,59.0,1.0,0.0,179352.0,JP-03
Miyagi,宮城県,39916,6347,32929.0,139.0,10.0,501.0,383987.0,JP-04
Akita,秋田県,9410,1765,7613.0,32.0,2.0,0.0,42683.0,JP-05
Yamagata,山形県,11478,2075,9338.0,65.0,0.0,0.0,149479.0,JP-06
Fukushima,福島県,23982,2727,21071.0,184.0,7.0,0.0,598961.0,JP-07
Ibaraki,茨城県,71765,7789,63690.0,286.0,17.0,0.0,43898.0,JP-08
Tochigi,栃木県,45073,7348,37546.0,179.0,9.0,0.0,620532.0,JP-09
Gunma,群馬県,51392,6837,44307.0,248.0,8.0,0.0,478277.0,JP-10
Saitama,埼玉県,309742,34377,274194.0,1171.0,54.0,0.0,2180747.0,JP-11
Chiba,千葉県,265439,32077,228523.0,1323.0,25.0,3516.0,1613080.0,JP-12
Tokyo,東京都,984556,161717,819218.0,3621.0,75.0,0.0,5409687.0,JP-13
Kanagawa,神奈川県,445147,47715,395752.0,1680.0,107.0,0.0,2180686.0,JP-14
Niigata,新潟県,29177,3815,25294.0,68.0,3.0,0.0,458083.0,JP-15
Toyama,富山県,17444,5727,11655.0,62.0,6.0,0.0,180667.0,JP-16
Ishikawa,石川県,24341,3826,20328.0,164.0,6.0,23.0,288565.0,JP-17
Fukui,福井県,12354,1740,10575.0,39.0,3.0,0.0,210166.0,JP-18
Yamanashi,山梨県,16000,2384,13589.0,42.0,3.0,15.0,198398.0,JP-19
Nagano,長野県,30739,3732,26530.0,142.0,4.0,335.0,500690.0,JP-20
Gifu,岐阜県,52586,6434,45318.0,271.0,9.0,563.0,644442.0,JP-21
Shizuoka,静岡県,87628,13374,69618.0,332.0,5.0,4304.0,943366.0,JP-22
Aichi,愛知県,311504,37694,272211.0,1599.0,53.0,0.0,2016583.0,JP-23
Mie,三重県,40599,5233,36293.0,236.0,6.0,1163.0,369137.0,JP-24
Shiga,滋賀県,48449,9143,39172.0,134.0,1.0,0.0,428182.0,JP-25
Kyoto,京都府,123001,18963,101874.0,423.0,89.0,1741.0,650658.0,JP-26
Osaka,大阪府,642552,111358,527283.0,3875.0,777.0,36.0,5593674.0,JP-27
Hyogo,兵庫県,255025,34207,219034.0,1793.0,38.0,9.0,1224396.0,JP-28
Nara,奈良県,54755,14264,40229.0,262.0,23.0,0.0,394420.0,JP-29
Wakayama,和歌山県,22337,1886,20201.0,101.0,6.0,149.0,117290.0,JP-30
Tottori,鳥取県,6477,1356,5027.0,9.0,1.0,85.0,254922.0,JP-31
Shimane,島根県,6266,696,5562.0,8.0,0.0,0.0,109739.0,JP-32
Okayama,岡山県,48173,4981,40128.0,200.0,12.0,2864.0,424777.0,JP-33
Hiroshima,広島県,73057,10578,62097.0,382.0,14.0,0.0,1387944.0,JP-34
Yamaguchi,山口県,20846,2378,18342.0,126.0,3.0,0.0,377372.0,JP-35
Tokushima,徳島県,10638,2180,8396.0,74.0,2.0,12.0,155468.0,JP-36
Kagawa,香川県,18318,3386,14858.0,74.0,5.0,0.0,196174.0,JP-37
Ehime,愛媛県,16625,1899,14614.0,112.0,1.0,0.0,254970.0,JP-38
Kochi,高知県,11832,1740,10015.0,77.0,10.0,0.0,172195.0,JP-39
Fukuoka,福岡県,230651,41594,182606.0,912.0,16.0,5539.0,1992737.0,JP-40
Saga,佐賀県,22827,3142,17463.0,62.0,5.0,2160.0,186489.0,JP-41
Nagasaki,長崎県,24819,4036,21602.0,108.0,2.0,927.0,275630.0,JP-42
Kumamoto,熊本県,48184,7484,40475.0,225.0,11.0,0.0,194678.0,JP-43
Oita,大分県,23448,2478,20870.0,100.0,0.0,0.0,420309.0,JP-44
Miyazaki,宮崎県,18394,2037,16325.0,86.0,0.0,54.0,127853.0,JP-45
Kagoshima,鹿児島県,30778,3447,26784.0,121.0,6.0,426.0,262150.0,JP-46
Okinawa,沖縄県,99238,5433,93384.0,426.0,21.0,5.0,588380.0,JP-47
Zenkoku,全国,4939071,716006,4179232.0,23438.0,,,,
