name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,61540,217,59853.0,1475.0,0.0,5.0,1280092.0,JP-01
Aomori,青森県,5903,2,5863.0,38.0,0.0,0.0,104949.0,JP-02
Iwate,岩手県,3492,5,3434.0,53.0,0.0,0.0,136693.0,JP-03
Miyagi,宮城県,16292,2,16171.0,118.0,0.0,1.0,264222.0,JP-04
Akita,秋田県,1934,0,1907.0,27.0,0.0,0.0,27668.0,JP-05
Yamagata,山形県,3607,1,3550.0,56.0,0.0,0.0,115666.0,JP-06
Fukushima,福島県,9529,29,9324.0,176.0,0.0,0.0,472020.0,JP-07
Ibaraki,茨城県,24493,13,24260.0,220.0,0.0,0.0,40590.0,JP-08
Tochigi,栃木県,15643,104,15422.0,117.0,0.0,0.0,530472.0,JP-09
Gunma,群馬県,17316,143,17084.0,176.0,2.0,87.0,355311.0,JP-10
Saitama,埼玉県,116116,127,114930.0,1059.0,1.0,0.0,1656791.0,JP-11
Chiba,千葉県,100721,72,99601.0,1028.0,1.0,20.0,1243478.0,JP-12
Tokyo,東京都,383241,613,379453.0,3175.0,1.0,0.0,4200967.0,JP-13
Kanagawa,神奈川県,169871,200,168352.0,1319.0,2.0,0.0,1839374.0,JP-14
Niigata,新潟県,8255,79,8114.0,62.0,0.0,0.0,329635.0,JP-15
Toyama,富山県,4869,1,4816.0,52.0,0.0,0.0,132342.0,JP-16
Ishikawa,石川県,8055,66,7831.0,136.0,0.0,22.0,215170.0,JP-17
Fukui,福井県,3118,3,3077.0,38.0,0.0,0.0,127209.0,JP-18
Yamanashi,山梨県,5161,0,5132.0,29.0,0.0,0.0,135182.0,JP-19
Nagano,長野県,8979,44,8888.0,97.0,0.0,50.0,368727.0,JP-20
Gifu,岐阜県,19283,7,19056.0,219.0,0.0,1.0,474819.0,JP-21
Shizuoka,静岡県,26904,19,26663.0,209.0,0.0,13.0,733273.0,JP-22
Aichi,愛知県,106804,95,105548.0,1161.0,0.0,0.0,1516048.0,JP-23
Mie,三重県,14825,6,14983.0,163.0,0.0,327.0,273776.0,JP-24
Shiga,滋賀県,12526,62,12360.0,104.0,0.0,0.0,298105.0,JP-25
Kyoto,京都府,36227,171,35749.0,292.0,15.0,15.0,475581.0,JP-26
Osaka,大阪府,203917,474,200379.0,3064.0,19.0,0.0,4272086.0,JP-27
Hyogo,兵庫県,78912,115,77399.0,1398.0,2.0,0.0,870275.0,JP-28
Nara,奈良県,15969,28,15792.0,149.0,0.0,0.0,283091.0,JP-29
Wakayama,和歌山県,5304,0,5136.0,62.0,0.0,106.0,68600.0,JP-30
Tottori,鳥取県,1669,0,1639.0,5.0,0.0,25.0,170480.0,JP-31
Shimane,島根県,1765,32,1728.0,5.0,0.0,0.0,64047.0,JP-32
Okayama,岡山県,15560,2,15417.0,136.0,0.0,5.0,310392.0,JP-33
Hiroshima,広島県,22242,61,21979.0,202.0,1.0,0.0,990011.0,JP-34
Yamaguchi,山口県,5885,77,5715.0,93.0,0.0,0.0,215836.0,JP-35
Tokushima,徳島県,3291,2,3225.0,66.0,0.0,2.0,117334.0,JP-36
Kagawa,香川県,4711,6,4666.0,38.0,0.0,1.0,146119.0,JP-37
Ehime,愛媛県,5412,0,5330.0,82.0,0.0,0.0,175085.0,JP-38
Kochi,高知県,4168,1,4134.0,33.0,0.0,0.0,111796.0,JP-39
Fukuoka,福岡県,74813,88,74091.0,627.0,3.0,7.0,1443413.0,JP-40
Saga,佐賀県,5875,7,5893.0,30.0,0.0,55.0,121772.0,JP-41
Nagasaki,長崎県,6126,7,6047.0,73.0,0.0,1.0,204789.0,JP-42
Kumamoto,熊本県,14396,0,14260.0,136.0,0.0,0.0,124939.0,JP-43
Oita,大分県,8187,0,8103.0,84.0,0.0,0.0,307834.0,JP-44
Miyazaki,宮崎県,6153,0,6096.0,41.0,0.0,16.0,73154.0,JP-45
Kagoshima,鹿児島県,9123,5,9051.0,66.0,0.0,1.0,177244.0,JP-46
Okinawa,沖縄県,50765,342,50029.0,398.0,5.0,4.0,441567.0,JP-47
Zenkoku,全国,1728947,3328,1707530.0,18387.0,,,,
