name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,1006,343,589.0,74.0,17,0.0,10485.0
Aomori,青森県,27,6,21.0,0.0,0,1.0,800.0
Iwate,岩手県,0,0,0.0,0.0,0,0.0,465.0
Miyagi,宮城県,88,2,85.0,1.0,0,1.0,2511.0
Akita,秋田県,16,1,15.0,0.0,0,0.0,905.0
Yamagata,山形県,69,11,58.0,0.0,2,0.0,2560.0
Fukushima,福島県,81,15,66.0,0.0,2,0.0,2827.0
Ibaraki,茨城県,168,29,130.0,9.0,1,0.0,4202.0
Tochigi,栃木県,60,20,40.0,0.0,5,2.0,2888.0
Gunma,群馬県,147,35,94.0,18.0,1,0.0,3284.0
Saitama,埼玉県,988,192,750.0,46.0,8,0.0,15507.0
Chiba,千葉県,898,206,650.0,42.0,11,3.0,12773.0
Tokyo,東京都,5055,1306,3512.0,237.0,54,0.0,14010.0
Kanagawa,神奈川県,1251,379,809.0,63.0,34,0.0,7931.0
Niigata,新潟県,83,23,60.0,0.0,0,1.0,3710.0
Toyama,富山県,225,51,156.0,18.0,2,0.0,2935.0
Ishikawa,石川県,287,89,177.0,21.0,3,0.0,2448.0
Fukui,福井県,122,12,102.0,8.0,2,0.0,2297.0
Yamanashi,山梨県,57,6,51.0,0.0,1,0.0,3205.0
Nagano,長野県,76,24,52.0,,2,0.0,2324.0
Gifu,岐阜県,150,9,134.0,7.0,1,0.0,3059.0
Shizuoka,静岡県,73,6,66.0,1.0,2,0.0,3290.0
Aichi,愛知県,504,66,404.0,34.0,2,3.0,8963.0
Mie,三重県,45,6,38.0,1.0,0,0.0,2347.0
Shiga,滋賀県,99,20,78.0,1.0,1,0.0,1596.0
Kyoto,京都府,358,62,283.0,13.0,1,0.0,6285.0
Osaka,大阪府,1768,417,1281.0,70.0,39,9.0,25638.0
Hyogo,兵庫県,699,96,565.0,38.0,17,0.0,10062.0
Nara,奈良県,90,9,79.0,2.0,0,0.0,2383.0
Wakayama,和歌山県,63,8,52.0,3.0,0,0.0,3529.0
Tottori,鳥取県,3,2,1.0,0.0,0,0.0,1247.0
Shimane,島根県,24,8,16.0,0.0,1,0.0,993.0
Okayama,岡山県,25,2,23.0,,-,0.0,1555.0
Hiroshima,広島県,165,50,113.0,2.0,1,0.0,6320.0
Yamaguchi,山口県,37,4,33.0,0.0,1,0.0,1598.0
Tokushima,徳島県,5,0,4.0,1.0,0,0.0,669.0
Kagawa,香川県,28,1,27.0,0.0,0,0.0,1983.0
Ehime,愛媛県,71,25,43.0,3.0,2,0.0,1600.0
Kochi,高知県,74,4,67.0,3.0,0,0.0,1681.0
Fukuoka,福岡県,657,89,543.0,25.0,10,0.0,11443.0
Saga,佐賀県,47,17,30.0,0.0,0,2.0,1317.0
Nagasaki,長崎県,17,1,15.0,1.0,0,0.0,2552.0
Kumamoto,熊本県,48,13,35.0,0.0,1,3.0,3725.0
Oita,大分県,60,3,56.0,1.0,0,0.0,3677.0
Miyazaki,宮崎県,17,3,14.0,0.0,0,0.0,1290.0
Kagoshima,鹿児島県,10,3,7.0,0.0,0,0.0,1616.0
Okinawa,沖縄県,142,13,123.0,6.0,4,0.0,2724.0
Zenkoku,全国,15983,3687,11547.0,749.0,,,
