name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,10805,2274,8239.0,292.0,33.0,0.0,183390.0,
Aomori,青森県,364,65,293.0,6.0,2.0,0.0,7849.0,
Iwate,岩手県,252,71,173.0,8.0,4.0,0.0,10662.0,
Miyagi,宮城県,1417,208,1197.0,12.0,3.0,0.0,21113.0,
Akita,秋田県,90,0,89.0,1.0,0.0,0.0,3746.0,
Yamagata,山形県,218,72,145.0,1.0,1.0,0.0,8932.0,
Fukushima,福島県,582,81,493.0,8.0,4.0,0.0,44199.0,
Ibaraki,茨城県,1935,329,1580.0,26.0,14.0,0.0,17774.0,
Tochigi,栃木県,839,212,627.0,2.0,9.0,2.0,60231.0,
Gunma,群馬県,1572,306,1242.0,24.0,8.0,0.0,42544.0,
Saitama,埼玉県,10101,1723,8208.0,170.0,34.0,0.0,260942.0,
Chiba,千葉県,7958,873,6988.0,97.0,14.0,0.0,189306.0,
Tokyo,東京都,46124,4619,40970.0,535.0,67.0,0.0,840791.0,
Kanagawa,神奈川県,14599,1536,12843.0,220.0,53.0,0.0,281819.0,
Niigata,新潟県,380,74,306.0,0.0,0.0,0.0,24145.0,
Toyama,富山県,462,6,430.0,26.0,1.0,0.0,18434.0,
Ishikawa,石川県,899,44,807.0,50.0,0.0,2.0,24571.0,
Fukui,福井県,331,15,305.0,11.0,2.0,0.0,16507.0,
Yamanashi,山梨県,440,83,348.0,9.0,0.0,0.0,14073.0,
Nagano,長野県,909,128,743.0,6.0,3.0,32.0,35844.0,
Gifu,岐阜県,1406,282,1105.0,19.0,3.0,0.0,48913.0,
Shizuoka,静岡県,2087,639,1428.0,20.0,16.0,0.0,67934.0,
Aichi,愛知県,12123,2061,9922.0,140.0,28.0,0.0,152984.0,
Mie,三重県,1028,183,834.0,11.0,5.0,0.0,24205.0,
Shiga,滋賀県,852,65,776.0,11.0,1.0,0.0,30612.0,
Kyoto,京都府,3076,406,2644.0,40.0,8.0,14.0,73836.0,
Osaka,大阪府,24192,4256,19524.0,396.0,155.0,16.0,372343.0,
Hyogo,兵庫県,6994,818,6072.0,104.0,45.0,0.0,109727.0,
Nara,奈良県,1433,237,1183.0,13.0,6.0,0.0,38382.0,
Wakayama,和歌山県,545,70,457.0,7.0,10.0,11.0,14702.0,
Tottori,鳥取県,67,9,57.0,0.0,0.0,1.0,19438.0,
Shimane,島根県,165,11,154.0,0.0,1.0,0.0,7659.0,
Okayama,岡山県,702,116,562.0,11.0,3.0,13.0,24136.0,
Hiroshima,広島県,1322,276,878.0,8.0,10.0,160.0,43500.0,
Yamaguchi,山口県,429,51,372.0,2.0,3.0,4.0,22347.0,
Tokushima,徳島県,187,6,173.0,9.0,0.0,1.0,13790.0,
Kagawa,香川県,198,54,141.0,3.0,0.0,0.0,19091.0,
Ehime,愛媛県,356,66,281.0,8.0,2.0,1.0,9639.0,
Kochi,高知県,312,128,180.0,4.0,1.0,0.0,4483.0,
Fukuoka,福岡県,6343,485,5748.0,110.0,11.0,0.0,221015.0,
Saga,佐賀県,371,55,315.0,3.0,0.0,2.0,11401.0,
Nagasaki,長崎県,290,21,265.0,3.0,0.0,1.0,29313.0,
Kumamoto,熊本県,1184,97,1020.0,13.0,8.0,54.0,27352.0,
Oita,大分県,490,168,319.0,3.0,2.0,0.0,32945.0,
Miyazaki,宮崎県,584,87,497.0,3.0,1.0,3.0,10923.0,
Kagoshima,鹿児島県,741,120,621.0,13.0,1.0,13.0,30031.0,
Okinawa,沖縄県,4735,381,4284.0,75.0,6.0,5.0,78522.0,
Zenkoku,全国,172489,23867,145838.0,2533.0,,,,
