name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,1323,80,1141.0,102.0,5,0.0,24496.0
Aomori,青森県,30,4,25.0,1.0,0,0.0,1201.0
Iwate,岩手県,0,0,0.0,0.0,0,0.0,1224.0
Miyagi,宮城県,126,25,100.0,1.0,0,0.0,4914.0
Akita,秋田県,16,0,16.0,0.0,0,0.0,1032.0
Yamagata,山形県,75,5,70.0,1.0,0,1.0,2772.0
Fukushima,福島県,84,2,82.0,0.0,0,0.0,8368.0
Ibaraki,茨城県,215,19,186.0,10.0,2,0.0,6066.0
Tochigi,栃木県,112,30,87.0,0.0,0,5.0,10326.0
Gunma,群馬県,166,11,136.0,19.0,0,0.0,6443.0
Saitama,埼玉県,1668,409,1192.0,67.0,4,0.0,50480.0
Chiba,千葉県,1223,210,967.0,46.0,0,0.0,21977.0
Tokyo,東京都,8933,1698,6909.0,326.0,10,0.0,134889.0
Kanagawa,神奈川県,1919,262,1559.0,98.0,9,0.0,15233.0
Niigata,新潟県,89,5,83.0,0.0,0,1.0,5578.0
Toyama,富山県,230,2,206.0,22.0,0,0.0,4533.0
Ishikawa,石川県,301,5,269.0,27.0,1,0.0,2983.0
Fukui,福井県,126,4,114.0,8.0,0,0.0,3844.0
Yamanashi,山梨県,77,2,74.0,1.0,0,0.0,6427.0
Nagano,長野県,83,7,76.0,,0,0.0,5055.0
Gifu,岐阜県,172,14,151.0,7.0,1,0.0,6398.0
Shizuoka,静岡県,102,17,84.0,1.0,0,0.0,9608.0
Aichi,愛知県,569,49,486.0,34.0,0,0.0,14781.0
Mie,三重県,55,7,46.0,1.0,0,1.0,3227.0
Shiga,滋賀県,109,5,103.0,1.0,1,0.0,3177.0
Kyoto,京都府,490,77,395.0,18.0,0,0.0,13461.0
Osaka,大阪府,2245,286,1873.0,86.0,4,0.0,51997.0
Hyogo,兵庫県,777,51,681.0,45.0,0,0.0,18310.0
Nara,奈良県,143,41,100.0,2.0,0,0.0,5045.0
Wakayama,和歌山県,87,14,70.0,3.0,1,0.0,4864.0
Tottori,鳥取県,5,2,3.0,0.0,0,0.0,2195.0
Shimane,島根県,25,1,24.0,0.0,0,0.0,1536.0
Okayama,岡山県,34,4,28.0,,-,2.0,2140.0
Hiroshima,広島県,198,28,167.0,3.0,0,0.0,8806.0
Yamaguchi,山口県,41,4,37.0,0.0,0,0.0,2913.0
Tokushima,徳島県,10,5,4.0,1.0,0,0.0,1314.0
Kagawa,香川県,42,4,28.0,0.0,0,10.0,3287.0
Ehime,愛媛県,82,0,77.0,5.0,0,0.0,2707.0
Kochi,高知県,76,2,71.0,3.0,0,0.0,2103.0
Fukuoka,福岡県,953,72,848.0,33.0,3,0.0,18778.0
Saga,佐賀県,47,0,47.0,0.0,0,0.0,1766.0
Nagasaki,長崎県,32,15,16.0,1.0,0,0.0,4519.0
Kumamoto,熊本県,50,1,46.0,3.0,0,0.0,4527.0
Oita,大分県,60,0,59.0,1.0,0,0.0,5644.0
Miyazaki,宮崎県,20,2,18.0,0.0,0,0.0,1770.0
Kagoshima,鹿児島県,162,74,88.0,0.0,0,0.0,8156.0
Okinawa,沖縄県,149,5,141.0,7.0,0,0.0,3457.0
Zenkoku,全国,23531,3560,18983.0,984.0,,,
