name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,2058,120,1831.0,107.0,0,0.0,56243.0
Aomori,青森県,36,1,34.0,1.0,0,0.0,2378.0
Iwate,岩手県,23,0,23.0,0.0,0,0.0,4163.0
Miyagi,宮城県,392,54,336.0,2.0,0,0.0,10190.0
Akita,秋田県,53,2,51.0,0.0,0,0.0,2121.0
Yamagata,山形県,78,2,76.0,1.0,1,1.0,5127.0
Fukushima,福島県,251,42,206.0,3.0,2,0.0,19800.0
Ibaraki,茨城県,649,34,598.0,17.0,4,0.0,12424.0
Tochigi,栃木県,427,57,370.0,1.0,1,1.0,29943.0
Gunma,群馬県,699,85,595.0,19.0,1,0.0,20337.0
Saitama,埼玉県,4600,270,4229.0,101.0,7,0.0,140657.0
Chiba,千葉県,3822,287,3465.0,70.0,7,0.0,86970.0
Tokyo,東京都,25335,2150,22779.0,406.0,26,0.0,443207.0
Kanagawa,神奈川県,6760,530,6094.0,136.0,27,0.0,149564.0
Niigata,新潟県,170,15,155.0,0.0,0,0.0,15140.0
Toyama,富山県,412,5,382.0,25.0,0,0.0,11696.0
Ishikawa,石川県,776,52,677.0,47.0,0,0.0,12580.0
Fukui,福井県,244,2,229.0,11.0,1,2.0,9692.0
Yamanashi,山梨県,182,4,172.0,6.0,2,0.0,10581.0
Nagano,長野県,305,5,305.0,1.0,0,6.0,18662.0
Gifu,岐阜県,622,28,584.0,10.0,3,0.0,22211.0
Shizuoka,静岡県,532,15,516.0,1.0,1,0.0,33644.0
Aichi,愛知県,5290,357,4850.0,83.0,15,0.0,74449.0
Mie,三重県,495,77,411.0,7.0,3,0.0,12325.0
Shiga,滋賀県,495,24,463.0,8.0,0,0.0,11641.0
Kyoto,京都府,1731,60,1646.0,25.0,2,0.0,41742.0
Osaka,大阪府,10483,565,9705.0,203.0,30,10.0,180249.0
Hyogo,兵庫県,2674,105,2510.0,59.0,8,0.0,55275.0
Nara,奈良県,567,17,541.0,9.0,0,0.0,20290.0
Wakayama,和歌山県,240,4,229.0,4.0,0,3.0,9244.0
Tottori,鳥取県,36,7,29.0,0.0,0,0.0,5428.0
Shimane,島根県,140,3,137.0,0.0,0,0.0,5652.0
Okayama,岡山県,154,1,147.0,,-,6.0,8110.0
Hiroshima,広島県,533,47,467.0,3.0,2,16.0,20619.0
Yamaguchi,山口県,198,6,190.0,2.0,1,0.0,9601.0
Tokushima,徳島県,147,12,123.0,9.0,0,3.0,6875.0
Kagawa,香川県,93,3,88.0,2.0,0,0.0,10520.0
Ehime,愛媛県,114,0,108.0,6.0,0,0.0,4049.0
Kochi,高知県,138,1,133.0,4.0,0,0.0,3459.0
Fukuoka,福岡県,5027,117,4815.0,95.0,10,0.0,47195.0
Saga,佐賀県,245,2,245.0,0.0,0,2.0,5874.0
Nagasaki,長崎県,236,2,231.0,3.0,0,0.0,18085.0
Kumamoto,熊本県,572,7,557.0,8.0,0,0.0,16338.0
Oita,大分県,158,3,153.0,2.0,0,0.0,16449.0
Miyazaki,宮崎県,344,1,343.0,1.0,0,1.0,8560.0
Kagoshima,鹿児島県,411,29,376.0,12.0,0,6.0,18752.0
Okinawa,沖縄県,2441,163,2236.0,46.0,7,4.0,38286.0
Zenkoku,全国,81388,5373,74440.0,1556.0,,,
