name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,19734,690,18323.0,700.0,3.0,21.0,405021.0,JP-01
Aomori,青森県,836,30,786.0,20.0,0.0,0.0,21091.0,JP-02
Iwate,岩手県,557,3,524.0,30.0,0.0,0.0,29018.0,JP-03
Miyagi,宮城県,3905,255,3625.0,25.0,5.0,0.0,73410.0,JP-04
Akita,秋田県,269,1,262.0,6.0,0.0,0.0,7148.0,JP-05
Yamagata,山形県,553,16,522.0,15.0,0.0,0.0,28850.0,JP-06
Fukushima,福島県,2160,240,1830.0,90.0,10.0,0.0,123507.0,JP-07
Ibaraki,茨城県,6107,319,5668.0,120.0,4.0,0.0,25144.0,JP-08
Tochigi,栃木県,4224,123,4033.0,68.0,1.0,0.0,153859.0,JP-09
Gunma,群馬県,4644,137,4418.0,89.0,3.0,0.0,100448.0,JP-10
Saitama,埼玉県,30489,1373,28474.0,642.0,46.0,0.0,584007.0,JP-11
Chiba,千葉県,27619,1175,25945.0,499.0,20.0,0.0,435957.0,JP-12
Tokyo,東京都,114536,2668,110332.0,1536.0,39.0,0.0,1614370.0,JP-13
Kanagawa,神奈川県,46082,1001,44348.0,733.0,28.0,0.0,631458.0,JP-14
Niigata,新潟県,1162,81,1065.0,16.0,2.0,0.0,46600.0,JP-15
Toyama,富山県,909,9,872.0,28.0,1.0,0.0,38262.0,JP-16
Ishikawa,石川県,1879,32,1784.0,62.0,3.0,1.0,54661.0,JP-17
Fukui,福井県,546,2,519.0,25.0,0.0,0.0,33169.0,JP-18
Yamanashi,山梨県,941,2,922.0,17.0,0.0,0.0,27101.0,JP-19
Nagano,長野県,2389,25,2355.0,41.0,0.0,32.0,103901.0,JP-20
Gifu,岐阜県,4786,82,4589.0,115.0,9.0,0.0,144898.0,JP-21
Shizuoka,静岡県,5356,225,5031.0,100.0,1.0,0.0,215542.0,JP-22
Aichi,愛知県,26251,496,25207.0,548.0,26.0,0.0,416874.0,JP-23
Mie,三重県,2587,84,2520.0,62.0,4.0,79.0,67122.0,JP-24
Shiga,滋賀県,2625,176,2401.0,48.0,6.0,0.0,77870.0,JP-25
Kyoto,京都府,9156,174,8833.0,163.0,1.0,14.0,162881.0,JP-26
Osaka,大阪府,47983,933,45489.0,1146.0,60.0,415.0,861806.0,JP-27
Hyogo,兵庫県,18276,360,17355.0,561.0,37.0,0.0,264340.0,JP-28
Nara,奈良県,3432,81,3303.0,48.0,8.0,0.0,86795.0,JP-29
Wakayama,和歌山県,1171,8,1121.0,18.0,1.0,24.0,24948.0,JP-30
Tottori,鳥取県,210,0,205.0,2.0,0.0,3.0,43293.0,JP-31
Shimane,島根県,284,0,284.0,0.0,0.0,0.0,16183.0,JP-32
Okayama,岡山県,2563,44,2419.0,33.0,1.0,67.0,69524.0,JP-33
Hiroshima,広島県,5057,35,4919.0,103.0,3.0,0.0,169055.0,JP-34
Yamaguchi,山口県,1389,26,1321.0,42.0,0.0,0.0,62904.0,JP-35
Tokushima,徳島県,462,20,425.0,17.0,2.0,0.0,28102.0,JP-36
Kagawa,香川県,767,19,730.0,18.0,0.0,0.0,46770.0,JP-37
Ehime,愛媛県,1070,18,1028.0,24.0,1.0,0.0,34034.0,JP-38
Kochi,高知県,906,18,869.0,19.0,3.0,0.0,7180.0,JP-39
Fukuoka,福岡県,18357,411,17638.0,308.0,17.0,0.0,466712.0,JP-40
Saga,佐賀県,1130,80,1060.0,10.0,2.0,20.0,29419.0,JP-41
Nagasaki,長崎県,1613,3,1573.0,37.0,0.0,0.0,70910.0,JP-42
Kumamoto,熊本県,3467,31,3366.0,73.0,2.0,3.0,57235.0,JP-43
Oita,大分県,1297,7,1268.0,22.0,0.0,0.0,84625.0,JP-44
Miyazaki,宮崎県,1953,7,1918.0,21.0,1.0,7.0,24803.0,JP-45
Kagoshima,鹿児島県,1762,11,1751.0,27.0,2.0,27.0,69332.0,JP-46
Okinawa,沖縄県,8407,279,8012.0,122.0,2.0,6.0,151701.0,JP-47
Zenkoku,全国,441858,11810,421242.0,8449.0,,,,
