name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,60645,223,58961.0,1469.0,1.0,8.0,1138363.0,JP-01
Aomori,青森県,5877,103,5736.0,38.0,1.0,0.0,92129.0,JP-02
Iwate,岩手県,3486,0,3433.0,53.0,0.0,0.0,124158.0,JP-03
Miyagi,宮城県,16253,14,16121.0,118.0,1.0,0.0,244937.0,JP-04
Akita,秋田県,1895,2,1866.0,27.0,0.0,0.0,26800.0,JP-05
Yamagata,山形県,3542,25,3461.0,56.0,0.0,0.0,101032.0,JP-06
Fukushima,福島県,9479,13,9291.0,175.0,2.0,0.0,419647.0,JP-07
Ibaraki,茨城県,24370,64,24088.0,218.0,5.0,0.0,40462.0,JP-08
Tochigi,栃木県,15430,47,15267.0,116.0,2.0,0.0,490828.0,JP-09
Gunma,群馬県,16711,49,16486.0,176.0,2.0,0.0,304855.0,JP-10
Saitama,埼玉県,115482,262,114192.0,1028.0,22.0,0.0,1488213.0,JP-11
Chiba,千葉県,100217,194,98988.0,1020.0,6.0,15.0,1098753.0,JP-12
Tokyo,東京都,377305,676,373516.0,3113.0,27.0,0.0,3744463.0,JP-13
Kanagawa,神奈川県,168740,305,167137.0,1298.0,14.0,0.0,1640356.0,JP-14
Niigata,新潟県,7973,21,7891.0,61.0,0.0,0.0,293518.0,JP-15
Toyama,富山県,4853,14,4788.0,51.0,0.0,0.0,117677.0,JP-16
Ishikawa,石川県,7940,26,7763.0,129.0,1.0,22.0,198167.0,JP-17
Fukui,福井県,3102,11,3054.0,37.0,0.0,0.0,118744.0,JP-18
Yamanashi,山梨県,5150,8,5113.0,29.0,0.0,0.0,116608.0,JP-19
Nagano,長野県,8842,36,8765.0,96.0,0.0,55.0,325990.0,JP-20
Gifu,岐阜県,19043,101,18720.0,217.0,3.0,5.0,419541.0,JP-21
Shizuoka,静岡県,26723,41,26473.0,209.0,0.0,0.0,637014.0,JP-22
Aichi,愛知県,106111,298,104658.0,1155.0,5.0,0.0,1343375.0,JP-23
Mie,三重県,14750,48,14862.0,163.0,1.0,323.0,267510.0,JP-24
Shiga,滋賀県,12363,37,12224.0,102.0,1.0,0.0,261791.0,JP-25
Kyoto,京都府,35811,88,35425.0,290.0,2.0,8.0,430223.0,JP-26
Osaka,大阪府,201940,913,196472.0,3031.0,133.0,1524.0,3597707.0,JP-27
Hyogo,兵庫県,78193,281,76518.0,1394.0,8.0,0.0,765318.0,JP-28
Nara,奈良県,15839,82,15608.0,149.0,2.0,0.0,255616.0,JP-29
Wakayama,和歌山県,5286,5,5115.0,62.0,1.0,104.0,65826.0,JP-30
Tottori,鳥取県,1662,8,1624.0,5.0,0.0,25.0,151078.0,JP-31
Shimane,島根県,1671,39,1627.0,5.0,0.0,0.0,55806.0,JP-32
Okayama,岡山県,15243,66,15000.0,136.0,2.0,41.0,268198.0,JP-33
Hiroshima,広島県,21961,141,21621.0,199.0,1.0,0.0,916429.0,JP-34
Yamaguchi,山口県,5698,46,5560.0,92.0,0.0,0.0,192183.0,JP-35
Tokushima,徳島県,3283,7,3211.0,65.0,0.0,0.0,106160.0,JP-36
Kagawa,香川県,4697,6,4653.0,38.0,0.0,0.0,131518.0,JP-37
Ehime,愛媛県,5323,51,5190.0,82.0,1.0,0.0,155648.0,JP-38
Kochi,高知県,4147,28,4087.0,32.0,1.0,0.0,100566.0,JP-39
Fukuoka,福岡県,74339,291,73413.0,621.0,9.0,14.0,1280377.0,JP-40
Saga,佐賀県,5823,18,5822.0,30.0,0.0,47.0,106386.0,JP-41
Nagasaki,長崎県,6090,48,5969.0,73.0,0.0,0.0,183356.0,JP-42
Kumamoto,熊本県,14380,45,14199.0,136.0,1.0,0.0,123881.0,JP-43
Oita,大分県,8182,15,8083.0,84.0,0.0,0.0,271585.0,JP-44
Miyazaki,宮崎県,6151,8,6086.0,41.0,0.0,16.0,73023.0,JP-45
Kagoshima,鹿児島県,9097,22,9010.0,65.0,0.0,0.0,169687.0,JP-46
Okinawa,沖縄県,50108,253,49463.0,365.0,5.0,27.0,402612.0,JP-47
Zenkoku,全国,1711206,5079,1686610.0,18149.0,,,,
