name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,60749,96,59179.0,1471.0,1.0,3.0,1160510.0,JP-01
Aomori,青森県,5893,14,5841.0,38.0,1.0,0.0,94697.0,JP-02
Iwate,岩手県,3486,0,3433.0,53.0,0.0,0.0,126071.0,JP-03
Miyagi,宮城県,16266,10,16136.0,118.0,1.0,2.0,248322.0,JP-04
Akita,秋田県,1908,11,1870.0,27.0,0.0,0.0,26882.0,JP-05
Yamagata,山形県,3548,5,3487.0,56.0,0.0,0.0,103042.0,JP-06
Fukushima,福島県,9483,5,9303.0,175.0,2.0,0.0,428016.0,JP-07
Ibaraki,茨城県,24403,24,24161.0,218.0,2.0,0.0,40489.0,JP-08
Tochigi,栃木県,15446,12,15318.0,116.0,1.0,0.0,497638.0,JP-09
Gunma,群馬県,16786,59,16551.0,176.0,0.0,0.0,311128.0,JP-10
Saitama,埼玉県,115610,134,114431.0,1045.0,14.0,0.0,1514531.0,JP-11
Chiba,千葉県,100308,87,99194.0,1024.0,3.0,3.0,1119672.0,JP-12
Tokyo,東京都,381655,368,378140.0,3147.0,14.0,0.0,3810106.0,JP-13
Kanagawa,神奈川県,168899,139,167452.0,1308.0,9.0,0.0,1665275.0,JP-14
Niigata,新潟県,7992,14,7917.0,61.0,0.0,0.0,299230.0,JP-15
Toyama,富山県,4866,12,4802.0,52.0,0.0,0.0,119767.0,JP-16
Ishikawa,石川県,7963,15,7797.0,129.0,0.0,22.0,201165.0,JP-17
Fukui,福井県,3110,7,3065.0,38.0,0.0,0.0,120214.0,JP-18
Yamanashi,山梨県,5155,5,5121.0,29.0,0.0,0.0,121233.0,JP-19
Nagano,長野県,8872,26,8805.0,96.0,0.0,55.0,332057.0,JP-20
Gifu,岐阜県,19129,70,18837.0,218.0,1.0,4.0,428778.0,JP-21
Shizuoka,静岡県,26747,14,26516.0,209.0,0.0,8.0,649567.0,JP-22
Aichi,愛知県,106346,174,105016.0,1156.0,6.0,0.0,1368278.0,JP-23
Mie,三重県,14791,33,14918.0,163.0,1.0,323.0,244929.0,JP-24
Shiga,滋賀県,12408,36,12269.0,103.0,0.0,0.0,270538.0,JP-25
Kyoto,京都府,35881,50,35533.0,291.0,1.0,7.0,437085.0,JP-26
Osaka,大阪府,202467,526,197423.0,3045.0,46.0,1473.0,3727973.0,JP-27
Hyogo,兵庫県,78447,230,76822.0,1395.0,5.0,0.0,782224.0,JP-28
Nara,奈良県,15889,50,15690.0,149.0,0.0,0.0,259808.0,JP-29
Wakayama,和歌山県,5293,5,5121.0,62.0,0.0,105.0,66425.0,JP-30
Tottori,鳥取県,1668,6,1632.0,5.0,0.0,25.0,154108.0,JP-31
Shimane,島根県,1716,47,1664.0,5.0,1.0,0.0,57507.0,JP-32
Okayama,岡山県,15301,33,15099.0,136.0,1.0,33.0,276298.0,JP-33
Hiroshima,広島県,22060,70,21788.0,202.0,0.0,0.0,925167.0,JP-34
Yamaguchi,山口県,5739,40,5606.0,93.0,0.0,0.0,194711.0,JP-35
Tokushima,徳島県,3286,4,3217.0,65.0,0.0,0.0,107970.0,JP-36
Kagawa,香川県,4703,2,4662.0,38.0,0.0,1.0,134352.0,JP-37
Ehime,愛媛県,5381,51,5248.0,82.0,0.0,0.0,159713.0,JP-38
Kochi,高知県,4165,10,4123.0,32.0,1.0,0.0,101891.0,JP-39
Fukuoka,福岡県,74431,96,73704.0,621.0,8.0,10.0,1305876.0,JP-40
Saga,佐賀県,5853,27,5850.0,30.0,0.0,54.0,109176.0,JP-41
Nagasaki,長崎県,6115,19,6023.0,73.0,0.0,0.0,187020.0,JP-42
Kumamoto,熊本県,14391,14,14241.0,136.0,2.0,0.0,124208.0,JP-43
Oita,大分県,8186,3,8099.0,84.0,0.0,0.0,277314.0,JP-44
Miyazaki,宮崎県,6151,6,6088.0,41.0,0.0,16.0,73029.0,JP-45
Kagoshima,鹿児島県,9101,4,9031.0,66.0,0.0,0.0,171044.0,JP-46
Okinawa,沖縄県,50225,118,49698.0,383.0,1.0,26.0,408750.0,JP-47
Zenkoku,全国,1718268,2781,1695921.0,18260.0,,,,
