name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,78633,11973,63805.0,1486.0,0.0,1369.0,1385880.0,JP-01
Aomori,青森県,8469,1911,6519.0,39.0,0.0,0.0,120884.0,JP-02
Iwate,岩手県,4065,416,3596.0,53.0,0.0,0.0,145625.0,JP-03
Miyagi,宮城県,19109,1699,16799.0,118.0,2.0,493.0,301669.0,JP-04
Akita,秋田県,3110,938,2145.0,27.0,0.0,0.0,31905.0,JP-05
Yamagata,山形県,4681,838,3787.0,56.0,0.0,0.0,125905.0,JP-06
Fukushima,福島県,11345,1285,9884.0,176.0,3.0,0.0,508899.0,JP-07
Ibaraki,茨城県,31428,4272,26934.0,222.0,1.0,0.0,42163.0,JP-08
Tochigi,栃木県,21185,3833,17230.0,122.0,0.0,0.0,561590.0,JP-09
Gunma,群馬県,25085,5128,19772.0,185.0,2.0,0.0,404818.0,JP-10
Saitama,埼玉県,148164,20365,126735.0,1064.0,14.0,0.0,1832967.0,JP-11
Chiba,千葉県,127435,15290,108485.0,1042.0,5.0,2618.0,1362688.0,JP-12
Tokyo,東京都,498549,83039,412320.0,3190.0,18.0,0.0,4618009.0,JP-13
Kanagawa,神奈川県,212274,29999,180942.0,1333.0,25.0,0.0,2034870.0,JP-14
Niigata,新潟県,14014,3774,10177.0,63.0,1.0,0.0,383976.0,JP-15
Toyama,富山県,5932,791,5089.0,52.0,1.0,0.0,146239.0,JP-16
Ishikawa,石川県,10771,2250,8360.0,140.0,0.0,21.0,233215.0,JP-17
Fukui,福井県,4668,836,3794.0,38.0,1.0,0.0,150813.0,JP-18
Yamanashi,山梨県,7325,1462,5838.0,30.0,0.0,5.0,151221.0,JP-19
Nagano,長野県,14828,2972,10798.0,97.0,0.0,961.0,426661.0,JP-20
Gifu,岐阜県,25807,4048,20771.0,222.0,0.0,766.0,534199.0,JP-21
Shizuoka,静岡県,38638,9050,28810.0,210.0,2.0,568.0,815637.0,JP-22
Aichi,愛知県,139194,25279,112738.0,1177.0,3.0,0.0,1634204.0,JP-23
Mie,三重県,19409,3128,16529.0,170.0,1.0,418.0,288826.0,JP-24
Shiga,滋賀県,19193,4731,14356.0,106.0,0.0,0.0,329540.0,JP-25
Kyoto,京都府,53950,11408,40032.0,296.0,46.0,2214.0,534414.0,JP-26
Osaka,大阪府,285908,60914,221902.0,3092.0,317.0,0.0,4702117.0,JP-27
Hyogo,兵庫県,105715,19363,84947.0,1405.0,7.0,0.0,966786.0,JP-28
Nara,奈良県,22028,4262,17613.0,153.0,12.0,0.0,325898.0,JP-29
Wakayama,和歌山県,8740,2637,5918.0,64.0,9.0,121.0,82812.0,JP-30
Tottori,鳥取県,2687,783,1867.0,5.0,0.0,32.0,199315.0,JP-31
Shimane,島根県,3826,1390,2430.0,6.0,2.0,0.0,75360.0,JP-32
Okayama,岡山県,21958,1689,15815.0,136.0,0.0,4318.0,343602.0,JP-33
Hiroshima,広島県,41886,15741,25925.0,220.0,5.0,0.0,1173596.0,JP-34
Yamaguchi,山口県,11341,3117,8129.0,95.0,2.0,0.0,278857.0,JP-35
Tokushima,徳島県,4108,584,3460.0,67.0,0.0,3.0,128843.0,JP-36
Kagawa,香川県,6882,1751,5091.0,40.0,0.0,0.0,162417.0,JP-37
Ehime,愛媛県,8914,2232,6598.0,84.0,3.0,0.0,201790.0,JP-38
Kochi,高知県,5148,741,4373.0,34.0,3.0,0.0,125309.0,JP-39
Fukuoka,福岡県,104064,21761,78055.0,637.0,3.0,3611.0,1621081.0,JP-40
Saga,佐賀県,9443,1923,6926.0,33.0,0.0,561.0,144145.0,JP-41
Nagasaki,長崎県,11493,4325,7100.0,74.0,2.0,6.0,229463.0,JP-42
Kumamoto,熊本県,23382,4122,19121.0,139.0,6.0,0.0,146905.0,JP-43
Oita,大分県,11591,2414,9093.0,84.0,0.0,0.0,344979.0,JP-44
Miyazaki,宮崎県,9561,2698,6802.0,41.0,0.0,20.0,89394.0,JP-45
Kagoshima,鹿児島県,13847,2673,10521.0,69.0,0.0,584.0,203805.0,JP-46
Okinawa,沖縄県,78358,9971,67949.0,399.0,41.0,39.0,519822.0,JP-47
Zenkoku,全国,2338141,415806,1885880.0,18591.0,,,,
