name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,2390,210,2073.0,107.0,0.0,0.0,65584.0
Aomori,青森県,39,2,36.0,1.0,0.0,0.0,2619.0
Iwate,岩手県,24,1,23.0,0.0,0.0,0.0,4682.0
Miyagi,宮城県,491,47,442.0,2.0,1.0,0.0,11617.0
Akita,秋田県,59,5,54.0,0.0,0.0,0.0,2349.0
Yamagata,山形県,81,3,77.0,1.0,0.0,0.0,5298.0
Fukushima,福島県,319,67,247.0,5.0,3.0,0.0,23265.0
Ibaraki,茨城県,710,45,648.0,17.0,5.0,0.0,13060.0
Tochigi,栃木県,444,15,430.0,1.0,0.0,2.0,33555.0
Gunma,群馬県,763,39,703.0,19.0,4.0,2.0,25367.0
Saitama,埼玉県,5131,380,4649.0,102.0,10.0,0.0,157456.0
Chiba,千葉県,4346,325,3947.0,74.0,12.0,0.0,106437.0
Tokyo,東京都,27959,1974,25562.0,423.0,27.0,0.0,515503.0
Kanagawa,神奈川県,7591,515,6925.0,151.0,18.0,0.0,172457.0
Niigata,新潟県,179,9,170.0,0.0,0.0,0.0,16452.0
Toyama,富山県,422,3,393.0,26.0,0.0,0.0,13531.0
Ishikawa,石川県,782,20,715.0,47.0,0.0,0.0,14607.0
Fukui,福井県,249,4,234.0,11.0,0.0,0.0,10254.0
Yamanashi,山梨県,197,2,189.0,6.0,1.0,0.0,11057.0
Nagano,長野県,320,6,313.0,2.0,0.0,1.0,20367.0
Gifu,岐阜県,636,9,617.0,10.0,1.0,0.0,24420.0
Shizuoka,静岡県,567,11,554.0,2.0,0.0,0.0,37931.0
Aichi,愛知県,5557,238,5228.0,91.0,8.0,0.0,85912.0
Mie,三重県,542,30,505.0,7.0,0.0,0.0,14328.0
Shiga,滋賀県,518,16,494.0,8.0,0.0,0.0,13058.0
Kyoto,京都府,1863,93,1743.0,27.0,2.0,0.0,46776.0
Osaka,大阪府,11249,437,10572.0,224.0,21.0,16.0,204301.0
Hyogo,兵庫県,2913,134,2720.0,59.0,15.0,0.0,61514.0
Nara,奈良県,603,26,568.0,9.0,1.0,0.0,22589.0
Wakayama,和歌山県,252,10,235.0,4.0,1.0,3.0,9793.0
Tottori,鳥取県,36,1,35.0,0.0,0.0,0.0,5539.0
Shimane,島根県,140,0,140.0,0.0,0.0,0.0,5943.0
Okayama,岡山県,164,8,152.0,1.0,3.0,3.0,8654.0
Hiroshima,広島県,641,60,577.0,3.0,1.0,1.0,24634.0
Yamaguchi,山口県,209,9,198.0,2.0,1.0,0.0,10725.0
Tokushima,徳島県,149,0,131.0,9.0,0.0,9.0,7104.0
Kagawa,香川県,96,3,91.0,2.0,0.0,0.0,11827.0
Ehime,愛媛県,115,1,108.0,6.0,0.0,0.0,4192.0
Kochi,高知県,139,1,134.0,4.0,0.0,0.0,3542.0
Fukuoka,福岡県,5105,69,4937.0,99.0,7.0,0.0,145841.0
Saga,佐賀県,249,3,248.0,0.0,0.0,2.0,6322.0
Nagasaki,長崎県,241,3,233.0,3.0,0.0,2.0,20210.0
Kumamoto,熊本県,714,66,606.0,8.0,1.0,34.0,17813.0
Oita,大分県,158,1,155.0,2.0,0.0,0.0,18432.0
Miyazaki,宮崎県,344,0,344.0,1.0,0.0,1.0,8677.0
Kagoshima,鹿児島県,456,24,432.0,12.0,0.0,12.0,20797.0
Okinawa,沖縄県,2769,237,2487.0,49.0,7.0,4.0,45025.0
Zenkoku,全国,88921,5162,82074.0,1637.0,,,
