name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,1317,76,1139.0,102.0,5,0.0,24041.0
Aomori,青森県,30,4,25.0,1.0,0,0.0,1178.0
Iwate,岩手県,0,0,0.0,0.0,0,0.0,1216.0
Miyagi,宮城県,112,11,100.0,1.0,0,0.0,4798.0
Akita,秋田県,16,0,16.0,0.0,0,0.0,1032.0
Yamagata,山形県,74,4,70.0,1.0,0,1.0,2719.0
Fukushima,福島県,84,2,82.0,0.0,0,0.0,8232.0
Ibaraki,茨城県,211,20,181.0,10.0,1,0.0,6007.0
Tochigi,栃木県,107,27,87.0,0.0,0,7.0,10106.0
Gunma,群馬県,164,9,136.0,19.0,0,0.0,6443.0
Saitama,埼玉県,1617,389,1161.0,67.0,4,0.0,48560.0
Chiba,千葉県,1223,210,967.0,46.0,0,0.0,21977.0
Tokyo,東京都,8640,1543,6771.0,326.0,7,0.0,130595.0
Kanagawa,神奈川県,1876,223,1555.0,98.0,9,0.0,20112.0
Niigata,新潟県,89,5,83.0,0.0,0,1.0,5484.0
Toyama,富山県,230,2,206.0,22.0,0,0.0,4524.0
Ishikawa,石川県,300,4,269.0,27.0,1,0.0,2976.0
Fukui,福井県,125,3,114.0,8.0,0,0.0,3811.0
Yamanashi,山梨県,76,1,74.0,1.0,0,0.0,6387.0
Nagano,長野県,81,5,76.0,,0,0.0,4972.0
Gifu,岐阜県,168,10,151.0,7.0,1,0.0,6088.0
Shizuoka,静岡県,99,15,83.0,1.0,0,0.0,9373.0
Aichi,愛知県,538,29,485.0,34.0,0,10.0,14633.0
Mie,三重県,52,4,46.0,1.0,0,1.0,3198.0
Shiga,滋賀県,108,6,101.0,1.0,1,0.0,3131.0
Kyoto,京都府,477,68,391.0,18.0,0,0.0,13115.0
Osaka,大阪府,2126,210,1830.0,86.0,6,0.0,49535.0
Hyogo,兵庫県,760,41,674.0,45.0,0,0.0,17829.0
Nara,奈良県,138,38,98.0,2.0,0,0.0,5045.0
Wakayama,和歌山県,84,15,66.0,3.0,0,0.0,4826.0
Tottori,鳥取県,5,2,3.0,0.0,0,0.0,2172.0
Shimane,島根県,25,1,24.0,0.0,0,0.0,1405.0
Okayama,岡山県,32,3,28.0,,-,1.0,2094.0
Hiroshima,広島県,192,22,167.0,3.0,0,0.0,8633.0
Yamaguchi,山口県,38,1,37.0,0.0,0,0.0,2828.0
Tokushima,徳島県,10,5,4.0,1.0,0,0.0,1293.0
Kagawa,香川県,42,4,28.0,0.0,0,10.0,3287.0
Ehime,愛媛県,82,0,77.0,5.0,0,0.0,2704.0
Kochi,高知県,76,1,71.0,3.0,0,1.0,2089.0
Fukuoka,福岡県,937,67,837.0,33.0,4,0.0,18558.0
Saga,佐賀県,47,0,47.0,0.0,0,0.0,1747.0
Nagasaki,長崎県,32,15,16.0,1.0,0,0.0,4424.0
Kumamoto,熊本県,49,0,46.0,3.0,0,0.0,4508.0
Oita,大分県,60,0,59.0,1.0,0,0.0,5589.0
Miyazaki,宮崎県,20,3,17.0,0.0,0,0.0,1759.0
Kagoshima,鹿児島県,162,88,74.0,0.0,0,0.0,8023.0
Okinawa,沖縄県,149,5,141.0,7.0,0,0.0,3414.0
Zenkoku,全国,22880,3191,18713.0,984.0,,,
