name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,4820,1455,3243.0,122.0,16.0,0.0,101035.0,
Aomori,青森県,275,38,231.0,6.0,2.0,0.0,6100.0,
Iwate,岩手県,51,6,27.0,0.0,0.0,18.0,5988.0,
Miyagi,宮城県,943,183,752.0,8.0,3.0,0.0,15890.0,
Akita,秋田県,70,8,62.0,0.0,1.0,0.0,2695.0,
Yamagata,山形県,94,12,81.0,1.0,0.0,0.0,6981.0,
Fukushima,福島県,428,39,383.0,6.0,3.0,0.0,34760.0,
Ibaraki,茨城県,906,114,774.0,18.0,2.0,0.0,14703.0,
Tochigi,栃木県,509,19,490.0,1.0,4.0,1.0,47905.0,
Gunma,群馬県,951,41,890.0,20.0,3.0,0.0,32726.0,
Saitama,埼玉県,6637,707,5812.0,118.0,9.0,0.0,206246.0,
Chiba,千葉県,5633,495,5054.0,84.0,8.0,0.0,142152.0,
Tokyo,東京都,34144,2489,31185.0,470.0,39.0,0.0,659488.0,
Kanagawa,神奈川県,9895,878,8835.0,182.0,28.0,0.0,220848.0,
Niigata,新潟県,224,41,183.0,0.0,0.0,0.0,19367.0,
Toyama,富山県,425,2,397.0,26.0,0.0,0.0,15642.0,
Ishikawa,石川県,827,14,764.0,49.0,0.0,0.0,19519.0,
Fukui,福井県,271,14,246.0,11.0,0.0,0.0,12106.0,
Yamanashi,山梨県,275,49,220.0,6.0,1.0,0.0,12472.0,
Nagano,長野県,429,84,344.0,6.0,0.0,5.0,25663.0,
Gifu,岐阜県,796,95,689.0,12.0,0.0,0.0,29011.0,
Shizuoka,静岡県,822,133,687.0,2.0,2.0,0.0,48055.0,
Aichi,愛知県,7299,905,6294.0,100.0,14.0,0.0,113195.0,
Mie,三重県,610,46,557.0,7.0,3.0,0.0,17127.0,
Shiga,滋賀県,646,79,558.0,9.0,0.0,0.0,14966.0,
Kyoto,京都府,2222,126,2065.0,31.0,1.0,0.0,55975.0,
Osaka,大阪府,14870,1639,12953.0,259.0,58.0,19.0,266357.0,
Hyogo,兵庫県,3747,325,3350.0,72.0,18.0,0.0,75625.0,
Nara,奈良県,812,135,666.0,11.0,1.0,0.0,27245.0,
Wakayama,和歌山県,308,27,272.0,4.0,3.0,5.0,10987.0,
Tottori,鳥取県,52,13,39.0,0.0,0.0,0.0,6090.0,
Shimane,島根県,141,0,141.0,0.0,0.0,0.0,6354.0,
Okayama,岡山県,367,79,259.0,10.0,1.0,19.0,14762.0,
Hiroshima,広島県,684,24,655.0,5.0,1.0,0.0,29759.0,
Yamaguchi,山口県,248,34,211.0,2.0,1.0,1.0,12510.0,
Tokushima,徳島県,170,7,156.0,9.0,0.0,2.0,7642.0,
Kagawa,香川県,113,11,100.0,2.0,0.0,0.0,14848.0,
Ehime,愛媛県,123,7,110.0,6.0,0.0,0.0,4529.0,
Kochi,高知県,144,0,140.0,4.0,0.0,0.0,3686.0,
Fukuoka,福岡県,5360,113,5143.0,104.0,4.0,0.0,178418.0,
Saga,佐賀県,276,12,265.0,1.0,0.0,2.0,8003.0,
Nagasaki,長崎県,249,3,242.0,3.0,0.0,1.0,24364.0,
Kumamoto,熊本県,887,49,810.0,9.0,4.0,19.0,21374.0,
Oita,大分県,163,3,157.0,3.0,0.0,0.0,22882.0,
Miyazaki,宮崎県,373,3,370.0,1.0,1.0,1.0,8829.0,
Kagoshima,鹿児島県,542,67,470.0,13.0,0.0,8.0,24653.0,
Okinawa,沖縄県,3669,300,3308.0,66.0,3.0,5.0,64314.0,
Zenkoku,全国,113500,10923,100640.0,1879.0,,,,
