name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,226,71,145.0,10.0,,,
Aomori,青森県,14,14,0.0,0.0,,,
Iwate,岩手県,0,0,0.0,0.0,,,
Miyagi,宮城県,36,35,1.0,0.0,,,
Akita,秋田県,11,9,2.0,0.0,,,
Yamagata,山形県,27,27,0.0,0.0,,,
Fukushima,福島県,33,31,2.0,0.0,,,
Ibaraki,茨城県,81,75,4.0,2.0,,,
Tochigi,栃木県,31,26,5.0,0.0,,,
Gunma,群馬県,33,28,4.0,1.0,,,
Saitama,埼玉県,271,241,25.0,5.0,,,
Chiba,千葉県,342,306,35.0,1.0,,,
Tokyo,東京都,1528,1453,57.0,18.0,,,
Kanagawa,神奈川県,375,332,37.0,6.0,,,
Niigata,新潟県,39,22,17.0,0.0,,,
Toyama,富山県,16,16,0.0,0.0,,,
Ishikawa,石川県,72,67,5.0,0.0,,,
Fukui,福井県,72,67,3.0,2.0,,,
Yamanashi,山梨県,24,22,2.0,0.0,,,
Nagano,長野県,21,18,3.0,0.0,,,
Gifu,岐阜県,76,70,5.0,1.0,,,
Shizuoka,静岡県,16,13,3.0,0.0,,,
Aichi,愛知県,299,225,53.0,21.0,,,
Mie,三重県,15,10,5.0,0.0,,,
Shiga,滋賀県,26,23,3.0,0.0,,,
Kyoto,京都府,159,129,29.0,1.0,,,
Osaka,大阪府,589,465,118.0,6.0,,,
Hyogo,兵庫県,273,203,58.0,12.0,,,
Nara,奈良県,34,26,8.0,0.0,,,
Wakayama,和歌山県,32,16,15.0,1.0,,,
Tottori,鳥取県,0,0,0.0,0.0,,,
Shimane,島根県,1,1,0.0,0.0,,,
Okayama,岡山県,16,16,0.0,0.0,,,
Hiroshima,広島県,25,22,3.0,0.0,,,
Yamaguchi,山口県,17,14,3.0,0.0,,,
Tokushima,徳島県,3,2,1.0,0.0,,,
Kagawa,香川県,3,3,0.0,0.0,,,
Ehime,愛媛県,26,21,4.0,1.0,,,
Kochi,高知県,47,35,12.0,0.0,,,
Fukuoka,福岡県,187,180,7.0,0.0,,,
Saga,佐賀県,11,10,1.0,0.0,,,
Nagasaki,長崎県,14,12,2.0,0.0,,,
Kumamoto,熊本県,23,19,4.0,0.0,,,
Oita,大分県,41,31,10.0,0.0,,,
Miyazaki,宮崎県,16,13,3.0,0.0,,,
Kagoshima,鹿児島県,3,3,0.0,0.0,,,
Okinawa,沖縄県,42,39,3.0,0.0,,,
