name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,914,585,286.0,43.0,,,
Aomori,青森県,26,11,15.0,0.0,,,
Iwate,岩手県,0,0,0.0,0.0,,,
Miyagi,宮城県,88,19,69.0,0.0,,,
Akita,秋田県,16,3,13.0,0.0,,,
Yamagata,山形県,69,15,54.0,0.0,,,
Fukushima,福島県,79,45,34.0,0.0,,,
Ibaraki,茨城県,168,88,71.0,9.0,,,
Tochigi,栃木県,54,29,25.0,0.0,,,
Gunma,群馬県,147,84,47.0,16.0,,,
Saitama,埼玉県,909,820,62.0,27.0,,,
Chiba,千葉県,837,630,179.0,28.0,,,
Tokyo,東京都,4765,4673,73.0,19.0,,,
Kanagawa,神奈川県,1132,901,188.0,43.0,,,
Niigata,新潟県,78,46,32.0,0.0,,,
Toyama,富山県,219,172,37.0,10.0,,,
Ishikawa,石川県,271,212,46.0,13.0,,,
Fukui,福井県,122,30,84.0,8.0,,,
Yamanashi,山梨県,56,27,29.0,0.0,,,
Nagano,長野県,73,41,32.0,0.0,,,
Gifu,岐阜県,150,38,106.0,6.0,,,
Shizuoka,静岡県,73,30,42.0,1.0,,,
Aichi,愛知県,498,364,99.0,35.0,,,
Mie,三重県,45,15,29.0,1.0,,,
Shiga,滋賀県,98,61,36.0,1.0,,,
Kyoto,京都府,341,123,206.0,12.0,,,
Osaka,大阪府,1704,1019,629.0,56.0,,,
Hyogo,兵庫県,676,558,99.0,19.0,,,
Nara,奈良県,88,48,38.0,2.0,,,
Wakayama,和歌山県,62,17,43.0,2.0,,,
Tottori,鳥取県,3,2,1.0,0.0,,,
Shimane,島根県,24,15,9.0,0.0,,,
Okayama,岡山県,23,13,10.0,0.0,,,
Hiroshima,広島県,162,123,37.0,2.0,,,
Yamaguchi,山口県,37,13,24.0,0.0,,,
Tokushima,徳島県,5,1,3.0,1.0,,,
Kagawa,香川県,28,17,11.0,0.0,,,
Ehime,愛媛県,48,13,32.0,3.0,,,
Kochi,高知県,74,22,49.0,3.0,,,
Fukuoka,福岡県,651,345,284.0,22.0,,,
Saga,佐賀県,45,35,10.0,0.0,,,
Nagasaki,長崎県,17,6,10.0,1.0,,,
Kumamoto,熊本県,47,29,16.0,2.0,,,
Oita,大分県,60,26,33.0,1.0,,,
Miyazaki,宮崎県,17,6,11.0,0.0,,,
Kagoshima,鹿児島県,10,5,5.0,0.0,,,
Okinawa,沖縄県,142,114,24.0,4.0,,,
Zenkoku,全国,15151,11489,3272.0,390.0,,,
