name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,13142,1628,11106.0,445.0,22.0,37.0,233173.0
Aomori,青森県,453,63,382.0,8.0,2.0,0.0,9366.0
Iwate,岩手県,380,68,289.0,23.0,3.0,0.0,14027.0
Miyagi,宮城県,2104,437,1653.0,14.0,3.0,0.0,24274.0
Akita,秋田県,132,37,94.0,1.0,0.0,0.0,4565.0
Yamagata,山形県,378,84,288.0,6.0,6.0,0.0,10101.0
Fukushima,福島県,907,235,653.0,19.0,5.0,0.0,56176.0
Ibaraki,茨城県,2381,255,2090.0,36.0,7.0,0.0,18572.0
Tochigi,栃木県,1349,373,976.0,6.0,9.0,6.0,71133.0
Gunma,群馬県,2222,311,1842.0,40.0,11.0,29.0,52062.0
Saitama,埼玉県,13724,2824,10697.0,203.0,54.0,0.0,312054.0
Chiba,千葉県,10609,1899,8595.0,115.0,16.0,0.0,224133.0
Tokyo,東京都,57896,7652,49626.0,618.0,84.0,0.0,975031.0
Kanagawa,神奈川県,20244,2974,17010.0,260.0,59.0,0.0,342311.0
Niigata,新潟県,520,95,425.0,3.0,0.0,3.0,27854.0
Toyama,富山県,548,54,468.0,26.0,2.0,0.0,21742.0
Ishikawa,石川県,1050,109,895.0,50.0,7.0,4.0,29508.0
Fukui,福井県,350,17,321.0,11.0,1.0,1.0,19268.0
Yamanashi,山梨県,525,49,465.0,11.0,3.0,0.0,14459.0
Nagano,長野県,1140,123,1014.0,14.0,3.0,11.0,47294.0
Gifu,岐阜県,2142,465,1646.0,31.0,10.0,0.0,64835.0
Shizuoka,静岡県,2606,427,2139.0,40.0,9.0,0.0,88334.0
Aichi,愛知県,15786,2255,13329.0,202.0,41.0,0.0,199918.0
Mie,三重県,1248,142,1090.0,16.0,4.0,0.0,29023.0
Shiga,滋賀県,1127,217,899.0,11.0,3.0,0.0,36772.0
Kyoto,京都府,4455,1019,3431.0,47.0,14.0,42.0,90765.0
Osaka,大阪府,29379,3349,25468.0,562.0,150.0,0.0,457909.0
Hyogo,兵庫県,9432,1140,8104.0,188.0,44.0,0.0,135518.0
Nara,奈良県,1936,336,1578.0,22.0,15.0,0.0,47698.0
Wakayama,和歌山県,600,21,561.0,7.0,4.0,11.0,16374.0
Tottori,鳥取県,101,34,65.0,0.0,1.0,2.0,23698.0
Shimane,島根県,208,31,177.0,0.0,2.0,0.0,9344.0
Okayama,岡山県,1308,384,762.0,13.0,8.0,149.0,31723.0
Hiroshima,広島県,3059,535,1677.0,23.0,18.0,824.0,73605.0
Yamaguchi,山口県,561,116,438.0,3.0,3.0,4.0,26760.0
Tokushima,徳島県,195,7,179.0,9.0,0.0,0.0,15180.0
Kagawa,香川県,296,94,199.0,3.0,0.0,0.0,23771.0
Ehime,愛媛県,445,79,354.0,12.0,4.0,0.0,12351.0
Kochi,高知県,642,146,490.0,6.0,9.0,0.0,5808.0
Fukuoka,福岡県,8585,1360,7107.0,118.0,13.0,0.0,260551.0
Saga,佐賀県,457,54,405.0,3.0,1.0,5.0,14755.0
Nagasaki,長崎県,611,201,311.0,3.0,2.0,96.0,38585.0
Kumamoto,熊本県,1739,172,1384.0,16.0,5.0,167.0,34504.0
Oita,大分県,654,96,553.0,5.0,4.0,0.0,41963.0
Miyazaki,宮崎県,715,68,647.0,5.0,0.0,5.0,12454.0
Kagoshima,鹿児島県,966,110,856.0,13.0,2.0,13.0,38299.0
Okinawa,沖縄県,5260,332,4852.0,81.0,5.0,5.0,88575.0
Zenkoku,全国,224567,32477,187590.0,3348.0,,,
