Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/04/26,135.94,79,78.71,0,0.71,6,6.14,0,0.29
2020/04/27,171.45,80,79.43,1,0.71,6,6.29,0,0.14
2020/04/28,196.50,80,80.00,0,0.57,6,6.43,0,0.14
2020/04/29,184.46,80,80.29,0,0.29,7,6.57,1,0.14
2020/04/30,198.22,81,80.71,1,0.43,7,6.71,0,0.14
2020/05/01,198.92,81,81.00,0,0.29,7,6.86,0,0.14
2020/05/02,186.72,81,81.29,0,0.29,7,7.00,0,0.14
2020/05/03,175.24,82,81.57,1,0.29,7,7.00,0,0.00
2020/05/04,156.08,82,81.71,0,0.14,7,7.00,0,0.00
2020/05/05,157.23,82,82.00,0,0.29,7,7.00,0,0.00
2020/05/06,167.00,82,82.43,0,0.43,7,7.00,0,0.00
2020/05/07,149.95,82,82.71,0,0.29,7,7.00,0,0.00
2020/05/08,136.65,83,83.00,1,0.29,7,7.00,0,0.00
2020/05/09,125.83,84,83.43,1,0.43,7,7.00,0,0.00
2020/05/10,116.38,84,83.86,0,0.43,7,7.00,0,0.00
2020/05/11,108.64,84,84.29,0,0.43,7,7.00,0,0.00
