Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/01/27,NG,0,0.00,0,0.00,0,0.00,0,0.00
2020/01/28,2.43,0,0.29,0,0.29,0,0.00,0,0.00
2020/01/29,3.49,0,0.57,0,0.29,0,0.00,0,0.00
2020/01/30,4.67,0,0.86,0,0.29,0,0.00,0,0.00
2020/01/31,4.58,2,1.14,2,0.29,0,0.00,0,0.00
2020/02/01,4.56,2,1.43,0,0.29,0,0.00,0,0.00
2020/02/02,4.41,2,1.71,0,0.29,0,0.00,0,0.00
2020/02/03,4.33,2,2.00,0,0.29,0,0.00,0,0.00
2020/02/04,4.09,2,2.14,0,0.14,0,0.00,0,0.00
2020/02/05,3.93,2,2.29,0,0.14,0,0.00,0,0.00
2020/02/06,3.80,2,2.43,0,0.14,0,0.00,0,0.00
2020/02/07,4.90,3,3.29,1,0.86,0,0.00,0,0.00
2020/02/08,6.25,3,4.14,0,0.86,0,0.00,0,0.00
2020/02/09,8.66,3,5.14,0,1.00,0,0.00,0,0.00
2020/02/10,12.69,8,6.14,5,1.00,0,0.00,0,0.00
2020/02/11,19.31,8,7.00,0,0.86,0,0.00,0,0.00
2020/02/12,35.82,9,7.86,1,0.86,0,0.00,0,0.00
2020/02/13,148.14,9,8.71,0,0.86,0,0.00,0,0.00
2020/02/14,62.94,9,8.86,0,0.14,0,0.00,0,0.00
2020/02/15,40.68,9,9.00,0,0.14,0,0.00,0,0.00
2020/02/16,27.89,9,9.00,0,0.00,0,0.00,0,0.00
2020/02/17,19.32,9,9.00,0,0.00,0,0.00,0,0.00
2020/02/18,12.82,9,9.00,0,0.00,0,0.00,0,0.00
2020/02/19,9.33,9,9.00,0,0.00,0,0.00,0,0.00
2020/02/20,6.49,9,9.00,0,0.00,0,0.00,0,0.00
2020/02/21,5.57,9,9.57,0,0.57,0,0.00,0,0.00
2020/02/22,4.73,9,10.14,0,0.57,0,0.00,0,0.00
2020/02/23,3.78,9,10.71,0,0.57,0,0.00,0,0.00
2020/02/24,3.18,13,11.57,4,0.86,0,0.00,0,0.00
2020/02/25,2.81,13,13.14,0,1.57,0,0.00,0,0.00
2020/02/26,2.57,13,15.14,0,2.00,0,0.00,0,0.00
2020/02/27,2.48,15,19.00,2,3.86,0,0.00,0,0.00
2020/02/28,2.39,20,22.86,5,3.86,0,0.00,0,0.00
2020/02/29,2.36,23,28.29,3,5.43,0,0.00,0,0.00
2020/03/01,2.47,36,38.71,13,10.43,0,0.00,0,0.00
2020/03/02,2.68,40,53.14,4,14.43,0,0.00,0,0.00
2020/03/03,2.81,51,73.71,11,20.57,0,0.14,0,0.14
2020/03/04,2.85,86,100.00,35,26.29,0,0.43,0,0.29
2020/03/05,3.00,116,134.00,30,34.00,0,0.71,0,0.29
2020/03/06,3.06,164,174.29,48,40.29,1,1.14,1,0.43
2020/03/07,3.08,207,221.86,43,47.57,2,2.14,1,1.00
2020/03/08,3.00,274,275.14,67,53.29,2,3.14,0,1.00
2020/03/09,2.92,322,324.14,48,49.00,3,4.43,1,1.29
2020/03/10,2.94,384,415.29,62,91.14,7,5.71,4,1.29
2020/03/11,3.03,459,549.14,75,133.86,7,9.43,0,3.71
2020/03/12,3.01,459,673.57,0,124.43,9,15.29,2,5.86
2020/03/13,3.07,802,849.14,343,175.57,10,24.29,1,9.00
2020/03/14,3.15,1144,1074.29,342,225.14,28,35.00,18,10.71
2020/03/15,3.31,1145,1386.14,1,311.86,43,50.57,15,15.57
2020/03/16,3.34,1551,1708.57,406,322.43,66,72.00,23,21.43
2020/03/17,3.45,1960,2167.43,409,458.86,82,98.43,16,26.43
2020/03/18,3.58,2642,2727.86,682,560.43,116,130.29,34,31.86
2020/03/19,3.69,2716,3385.00,74,657.14,159,165.00,43,34.71
2020/03/20,3.79,4014,4124.29,1298,739.29,195,207.00,36,42.00
2020/03/21,3.91,5067,5010.57,1053,886.29,251,268.00,56,61.00
2020/03/22,4.00,5745,6010.29,678,999.71,286,350.71,35,82.71
2020/03/23,4.17,6726,7309.71,981,1299.43,360,453.57,74,102.86
2020/03/24,4.37,8164,8842.71,1438,1533.00,509,591.86,149,138.29
2020/03/25,4.60,9640,10592.00,1476,1749.29,695,764.14,186,172.29
2020/03/26,4.81,11812,12597.00,2172,2005.00,879,962.14,184,198.00
2020/03/27,5.05,14745,14843.71,2933,2246.71,1163,1203.00,284,240.86
2020/03/28,5.32,17312,17317.57,2567,2473.86,1457,1477.29,294,274.29
2020/03/29,5.66,19780,20206.86,2468,2889.29,1672,1820.86,215,343.57
2020/03/30,6.05,22453,23401.29,2673,3194.43,2046,2231.29,374,410.43
2020/03/31,6.39,25481,26821.86,3028,3420.57,2429,2703.29,383,472.00
2020/04/01,6.72,29865,30416.86,4384,3595.00,3100,3242.00,671,538.71
2020/04/02,7.17,34173,34510.57,4308,4093.71,3752,3842.29,652,600.29
2020/04/03,7.63,38689,38771.43,4516,4260.86,4467,4470.71,715,628.43
2020/04/04,8.05,42477,43124.00,3788,4352.57,5228,5192.71,761,722.00
2020/04/05,8.52,48436,47639.57,5959,4515.57,5874,5966.86,646,774.14
2020/04/06,8.96,52279,52168.00,3843,4528.43,6445,6805.57,571,838.71
2020/04/07,9.66,55949,57298.86,3670,5130.86,7483,7706.86,1038,901.29
2020/04/08,10.43,61474,62641.29,5525,5342.43,8519,8619.43,1036,912.57
2020/04/09,11.15,65872,67894.14,4398,5252.86,9623,9537.71,1104,918.29
2020/04/10,11.90,74605,73221.43,8733,5327.29,10776,10480.86,1153,943.14
2020/04/11,12.79,79874,78778.00,5269,5556.57,11616,11425.43,840,944.57
2020/04/12,13.65,85206,84207.86,5332,5429.86,12302,12342.86,686,917.43
2020/04/13,14.55,89570,89675.43,4364,5467.57,13047,13250.14,745,907.29
2020/04/14,15.26,94845,94698.86,5275,5023.43,14095,14126.43,1048,876.29
2020/04/15,16.02,99483,99761.71,4638,5062.86,14941,15042.43,846,916.00
2020/04/16,16.92,104145,104899.71,4662,5138.00,15974,15931.71,1033,889.29
2020/04/17,17.89,109769,110083.43,5624,5183.71,16910,16795.29,936,863.57
2020/04/18,18.83,115314,115130.14,5545,5046.71,18028,17676.57,1118,881.29
