Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/01/27,5.79,5,4.14,0,0.57,0,0.00,0,0.00
2020/01/28,6.60,5,4.86,0,0.71,0,0.00,0,0.00
2020/01/29,7.88,5,5.71,0,0.86,0,0.00,0,0.00
2020/01/30,8.32,5,6.14,0,0.43,0,0.00,0,0.00
2020/01/31,10.73,7,7.00,2,0.86,0,0.00,0,0.00
2020/02/01,13.91,8,7.86,1,0.86,0,0.00,0,0.00
2020/02/02,18.70,8,8.71,0,0.86,0,0.00,0,0.00
2020/02/03,25.57,11,9.57,3,0.86,0,0.00,0,0.00
2020/02/04,30.97,11,10.14,0,0.57,0,0.00,0,0.00
2020/02/05,35.04,11,10.57,0,0.43,0,0.00,0,0.00
2020/02/06,39.70,11,11.00,0,0.43,0,0.00,0,0.00
2020/02/07,33.58,11,11.00,0,0.00,0,0.00,0,0.00
2020/02/08,33.79,11,11.14,0,0.14,0,0.00,0,0.00
2020/02/09,34.40,11,11.29,0,0.14,0,0.00,0,0.00
2020/02/10,41.64,11,11.57,0,0.29,0,0.00,0,0.00
2020/02/11,42.62,12,11.86,1,0.29,0,0.00,0,0.00
2020/02/12,43.57,12,12.14,0,0.29,0,0.00,0,0.00
2020/02/13,44.56,13,12.43,1,0.29,0,0.00,0,0.00
2020/02/14,11.63,13,12.71,0,0.29,0,0.00,0,0.00
2020/02/15,7.43,13,12.86,0,0.14,0,0.00,0,0.00
2020/02/16,5.58,13,13.00,0,0.14,0,0.00,0,0.00
2020/02/17,4.59,13,13.00,0,0.00,0,0.00,0,0.00
2020/02/18,4.06,13,13.29,0,0.29,0,0.00,0,0.00
2020/02/19,3.64,13,13.57,0,0.29,0,0.00,0,0.00
2020/02/20,3.32,13,13.86,0,0.29,0,0.00,0,0.00
2020/02/21,3.92,15,19.29,2,5.43,0,0.00,0,0.00
2020/02/22,4.31,15,24.71,0,5.43,0,0.00,0,0.00
2020/02/23,4.59,15,31.00,0,6.29,0,0.00,0,0.00
2020/02/24,4.43,51,37.43,36,6.43,0,0.00,0,0.00
2020/02/25,4.16,51,43.86,0,6.43,0,0.00,0,0.00
2020/02/26,3.73,57,51.43,6,7.57,0,0.14,0,0.14
2020/02/27,3.38,58,59.86,1,8.43,0,0.29,0,0.14
2020/02/28,3.08,60,66.57,2,6.71,0,1.14,0,0.86
2020/02/29,2.76,68,76.14,8,9.57,1,2.14,1,1.00
2020/03/01,2.54,74,89.29,6,13.14,1,3.71,0,1.57
2020/03/02,2.45,98,112.00,24,22.71,6,5.43,5,1.71
2020/03/03,2.38,118,140.86,20,28.86,7,7.43,1,2.00
2020/03/04,2.41,149,188.57,31,47.71,11,9.71,4,2.29
2020/03/05,2.44,217,252.00,68,63.43,12,12.57,1,2.86
2020/03/06,2.40,262,321.29,45,69.29,14,14.86,2,2.29
2020/03/07,2.45,402,441.43,140,120.14,17,17.86,3,3.00
2020/03/08,2.52,518,603.14,116,161.71,21,21.43,4,3.57
2020/03/09,2.45,583,809.71,65,206.57,22,25.57,1,4.14
2020/03/10,2.38,959,1083.57,376,273.86,28,30.57,6,5.00
2020/03/11,2.31,1281,1415.71,322,332.14,36,36.43,8,5.86
2020/03/12,2.26,1663,1841.57,382,425.86,41,43.86,5,7.43
2020/03/13,2.23,2179,2420.00,516,578.43,49,54.86,8,11.00
2020/03/14,2.23,2727,3200.29,548,780.29,58,69.86,9,15.00
2020/03/15,2.23,3499,4129.14,772,928.86,73,88.14,15,18.29
2020/03/16,2.34,4632,5855.43,1133,1726.29,99,119.14,26,31.00
2020/03/17,2.49,6421,8297.43,1789,2442.00,133,162.00,34,42.86
2020/03/18,2.65,7783,11565.00,1362,3267.57,164,216.86,31,54.86
2020/03/19,2.84,13747,15818.86,5964,4253.86,258,290.14,94,73.29
2020/03/20,3.07,19273,21420.43,5526,5601.57,349,388.29,91,98.14
2020/03/21,3.29,25600,28179.71,6327,6759.29,442,513.29,93,125.00
2020/03/22,3.52,33276,36464.71,7676,8285.00,586,677.86,144,164.57
2020/03/23,3.79,43843,46477.43,10567,10012.71,786,887.57,200,209.71
2020/03/24,4.07,53736,58246.57,9893,11769.14,1008,1161.29,222,273.71
2020/03/25,4.36,65778,71941.57,12042,13695.00,1316,1488.29,308,327.00
2020/03/26,4.67,83836,87317.71,18058,15376.14,1726,1893.14,410,404.86
2020/03/27,4.98,101657,104173.14,17821,16855.43,2265,2379.71,539,486.57
2020/03/28,5.34,121465,123378.29,19808,19205.14,2731,3002.43,466,622.71
2020/03/29,5.73,140909,144444.57,19444,21066.29,3420,3743.14,689,740.71
