date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,Rt,K,CFR
2020-06-11,151,19.0,150.71428571428567,0.0,0.2857142857142857,19.0,0.0,0.0,508.48891346880225,,0.00949667616334271,0.12606635071090053
2020-06-12,151,19.0,151.0,0.0,0.2857142857142857,19.0,0.0,0.0,424.14368681095505,,0.011374407582938284,0.12582781456953643
2020-06-13,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,424.95236732371285,1.0,0.011352885525070966,0.12582781456953643
2020-06-14,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,510.4297402444601,,0.009460737937559194,0.12582781456953643
2020-06-15,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,638.6454115992415,,0.007568590350047422,0.12582781456953643
2020-06-16,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,852.3376813014052,,0.0056764427625356495,0.12582781456953643
2020-06-17,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,1279.721449080287,,0.0037842951750238774,0.12582781456953643
2020-06-18,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,2561.8712135614437,,0.0018921475875121052,0.12582781456953643
2020-06-19,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,,,,0.12582781456953643
2020-06-20,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,,,,0.12582781456953643
2020-06-21,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,,,,0.12582781456953643
2020-06-22,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,,,,0.12582781456953643
2020-06-23,151,19.0,151.0,0.0,0.0,19.0,0.0,0.0,,,,0.12582781456953643
2020-06-24,152,19.0,151.0,1.0,0.0,19.0,0.0,0.0,,,,0.12582781456953643
2020-06-25,152,19.0,151.14285714285714,0.0,0.14285714285714285,19.0,0.0,0.0,,,,0.12570888468809074
2020-06-26,152,19.0,151.28571428571428,0.0,0.14285714285714285,19.0,0.0,0.0,5131.021621744428,,0.000945179584120992,0.12559017941454204
2020-06-27,152,19.0,151.42857142857142,0.0,0.14285714285714285,19.0,0.0,0.0,2566.723245273377,,0.0018885741265344258,0.12547169811320755
2020-06-28,152,19.0,151.57142857142856,0.0,0.14285714285714285,19.0,0.0,0.0,1711.9568654839925,,0.002830188679245227,0.12535344015080113
2020-06-29,152,19.0,151.7142857142857,0.0,0.14285714285714285,19.0,0.0,0.0,1284.5734851348327,,0.0037700282752120007,0.12523540489642188
2020-06-30,153,19.0,151.85714285714283,1.0,0.14285714285714285,19.0,0.0,0.0,1028.143304777094,,0.004708097928436739,0.12511759172154283
2020-07-01,153,19.0,152.14285714285714,0.0,0.2857142857142857,19.0,0.0,0.0,857.1897245940806,,0.005644402634054413,0.12488262910798123
2020-07-02,153,19.0,152.28571428571428,0.0,0.14285714285714285,19.0,0.0,0.0,735.7730657873803,1.640670712015276,0.0065727699530516714,0.12476547842401502
2020-07-03,154,19.0,152.42857142857142,1.0,0.14285714285714285,19.0,0.0,0.0,736.4662154774719,1.0,0.0065666041275797005,0.1246485473289597
2020-07-04,154,19.0,152.71428571428572,0.0,0.2857142857142857,19.0,0.0,0.0,737.1593651628735,1.0,0.006560449859418949,0.12441534144059868
2020-07-05,155,19.0,153.0,1.0,0.2857142857142857,19.0,0.0,0.0,645.9234916082244,1.640670712015276,0.00748362956033688,0.12418300653594772
