date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,Rt,K,CFR
2020-05-25,100,1.0,99.28571428571428,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,334.29901665671747,0.6095068271022377,0.014409221902017433,0.010071942446043165
2020-05-26,100,1.0,99.42857142857142,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,372.2532739506926,0.6095068271022377,0.012949640287769792,0.010057471264367816
2020-05-27,100,1.0,99.57142857142856,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,419.69594338444483,0.6095068271022377,0.011494252873563315,0.010043041606886656
2020-05-28,100,1.0,99.7142857142857,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,480.6934884346669,0.6095068271022377,0.010043041606886627,0.010028653295128939
2020-05-29,100,1.0,99.85714285714283,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,562.0233482174255,0.6095068271022377,0.00859598853868182,0.010014306151645207
2020-05-30,100,1.0,99.99999999999997,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,562.8320249434853,1.0,0.008583690987124415,0.01
2020-05-31,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,563.6407016551655,1.0,0.008571428571428341,0.01
2020-06-01,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,676.8553233419692,,0.0071428571428568954,0.01
2020-06-02,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,846.6769639380068,,0.005714285714285561,0.01
2020-06-03,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,1129.7126431913046,,0.004285714285714115,0.01
2020-06-04,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,1695.7834203412656,,0.0028571428571427804,0.01
2020-06-05,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,3393.994591576267,,0.0014285714285713347,0.01
2020-06-06,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-07,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-08,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-09,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-10,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-11,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-12,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-13,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-14,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-15,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-16,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-17,100,1.0,99.99999999999997,0.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-18,101,1.0,99.99999999999997,1.0,0.0,0.9999999999999998,0.0,0.0,,,,0.01
2020-06-19,101,1.0,100.14285714285712,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,,,,0.009985734664764621
2020-06-20,101,1.0,100.28571428571428,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,3398.846622664951,,0.0014265335235379428,0.00997150997150997
2020-06-21,101,1.0,100.42857142857143,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,1700.6354539057425,,0.002849002849003024,0.009957325746799429
2020-06-22,101,1.0,100.57142857142857,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,1134.5646808817241,,0.004267425320057194,0.009943181818181816
2020-06-23,101,1.0,100.71428571428572,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,851.5290074048553,,0.005681818181818454,0.009929078014184394
2020-06-24,101,1.0,100.85714285714286,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,681.707374235678,,0.007092198581560627,0.009915014164305947
2020-06-25,101,1.0,101.0,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,568.4927616263345,,0.008498583569405471,0.0099009900990099
2020-06-26,101,1.0,101.0,0.0,0.0,0.9999999999999998,0.0,0.0,569.3014382389813,1.0,0.008486562942008669,0.0099009900990099
2020-06-27,101,1.0,101.0,0.0,0.0,0.9999999999999998,0.0,0.0,683.6481945112296,,0.007072135785007205,0.0099009900990099
2020-06-28,101,1.0,101.0,0.0,0.0,0.9999999999999998,0.0,0.0,855.1680399067619,,0.005657708628005631,0.0099009900990099
2020-06-29,101,1.0,101.0,0.0,0.0,0.9999999999999998,0.0,0.0,1141.034064370954,,0.004243281471004279,0.0099009900990099
2020-06-30,101,1.0,101.0,0.0,0.0,0.9999999999999998,0.0,0.0,1712.7655377356573,,0.0028288543140027045,0.0099009900990099
2020-07-01,103,1.0,101.0,2.0,0.0,0.9999999999999998,0.0,0.0,3427.9588091511164,,0.0014144271570013522,0.0099009900990099
2020-07-02,103,1.0,101.28571428571428,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,,,,0.009873060648801127
2020-07-03,103,1.0,101.57142857142856,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,1717.6175712353304,,0.0028208744710859213,0.009845288326300983
2020-07-04,103,1.0,101.85714285714283,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,860.0200831135652,,0.005625879043600457,0.009817671809256662
2020-07-05,103,1.0,102.14285714285712,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,574.1534976248424,,0.008415147265076861,0.00979020979020979
2020-07-06,103,1.0,102.42857142857142,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,431.21964017823734,,0.011188811188810988,0.009762900976290097
2020-07-07,103,1.0,102.7142857142857,0.0,0.2857142857142857,0.9999999999999998,0.0,0.0,345.4588758420254,,0.013947001394700065,0.009735744089012517
2020-07-08,104,1.0,102.99999999999999,1.0,0.2857142857142857,0.9999999999999998,0.0,0.0,288.2846596278498,,0.016689847009735526,0.009708737864077669
2020-07-09,104,1.0,103.14285714285714,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,289.0933503747949,1.0,0.01664355062413314,0.00969529085872576
2020-07-10,104,1.0,103.28571428571429,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,316.0374000189308,0.6095068271022377,0.015235457063711988,0.009681881051175654
2020-07-11,104,1.0,103.42857142857143,0.0,0.14285714285714285,0.9999999999999998,0.0,0.0,348.3701414579974,0.6095068271022377,0.013831258644536937,0.009668508287292816
2020-07-12,106,1.0,103.57142857142857,2.0,0.14285714285714285,0.9999999999999998,0.0,0.0,387.88780611342895,0.6095068271022377,0.0124309392265195,0.009655172413793102
2020-07-13,106,1.0,104.0,0.0,0.42857142857142855,0.9999999999999998,0.0,0.0,437.2847411094129,0.6095068271022377,0.011034482758620734,0.009615384615384612
2020-07-14,106,1.0,104.42857142857142,0.0,0.42857142857142855,0.9999999999999998,0.0,0.0,390.0442919718398,1.335916982535434,0.01236263736263754,0.009575923392612857
2020-07-15,107,1.0,104.85714285714285,1.0,0.42857142857142855,0.9999999999999998,0.0,0.0,352.2518277257206,1.335916982535434,0.013679890560875485,0.009536784741144413
2020-07-16,108,1.0,105.28571428571428,1.0,0.42857142857142855,0.9999999999999998,0.0,0.0,294.34983768032646,2.1917998669297094,0.01634877384196176,0.009497964721845317
